source,question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,parsed_action,verify,raw_response,input_tokens,output_tokens,estimated_cost_usd,prompt_hash,request_key
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",554,301,0.00154425,bfc3ea1193d8404a7fc8fa1300365a6df5916a77cb42274a1395168d1b6dad14,verification:66b16b10ca1919d470692b3ac857866e450577013b911ded16d97589052af140
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,0.7,I,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",572,475,0.00221025,29ae66d32568677067a8b47bbe20f8546d235294966c25978273dbf1f5968b25,verification:4bdead35375fe6dc0be902ba7b7fd4a118e169ccf25b65b3b04230c948073177
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,0.9,I,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",627,92,0.00081525,4603961e01564a23953f5426412269e9cf5b8f6fde82e1ebb0746aace82e572e,verification:ce4ad07583446e60cf486d2d9be0e4adf9f73fa5335d657ac849e141971acd04
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,0.99,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",573,497,0.0022935,5e14a3497a9b66f287bcba726dd755f28493a34a021fd17304c34c8f98d1b6b9,verification:f88e88b007342325d92a7e9ced4da70e48525c58560a24896645b3323e9d12f9
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",555,456,0.00212625,7969c5cbdd7e7d3bd789b858e40fa8ca5e074c12fefcf9ae4828233ec6022604,verification:195aaf1c309a3ee0cad7874019ca094d3dc69c08511c33f71bef799d6e5ad89b
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",573,474,0.00220725,7064ee78711797c54eceb9cb89e102f1341de973c70374540b9356bf6f4b6155,verification:51197f6a628df719f0a9c1f15ea941e65329f1cefb83365e8baa6537d001ea79
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,0.9,I,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",573,490,0.00226725,8b36990d9f4899e8dfcf85f7071b8b530a68387b6b835492fcbd6b1d18689d60,verification:178c4e2ebf494a5cce53c395f73a724cec41a814e7c90f313f22bf819ef75939
task007b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,0.99,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",574,350,0.001743,9076b701c33ec0126a3f0aa3c6dca19e25ffe8ebe47bcf678b3b42aead8af15a,verification:ab12390a1038571f1ca74e34268afe8b24a58bb9cf1ff49bfbd5c1963dc38d27
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",671,6,0.00085375,bfc3ea1193d8404a7fc8fa1300365a6df5916a77cb42274a1395168d1b6dad14,verification:11185c365a51fb2ef3020722c114c9647ddd77e6207a8cac517fcdc64b65e962
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",688,6,0.000875,29ae66d32568677067a8b47bbe20f8546d235294966c25978273dbf1f5968b25,verification:aa7cbfe5ec87ac1ff3500b273321da93111e8a8436b763b33d1ffda8ae611c6b
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,0.9,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",688,6,0.000875,4603961e01564a23953f5426412269e9cf5b8f6fde82e1ebb0746aace82e572e,verification:b2b894bec03cb5ee42b679ace0bc3ba5c10089e00869ca0117de8f18bbd80029
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,0.99,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",688,6,0.000875,5e14a3497a9b66f287bcba726dd755f28493a34a021fd17304c34c8f98d1b6b9,verification:f06373e13c7662a44524357e67415c764bcbe8d6912f65254b471cec62bd5d21
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",672,6,0.000855,7969c5cbdd7e7d3bd789b858e40fa8ca5e074c12fefcf9ae4828233ec6022604,verification:7d16b40db3a41a49baf02a61fc13792cde51851b3173a942c49ae5c0f33e480b
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",689,6,0.00087625,7064ee78711797c54eceb9cb89e102f1341de973c70374540b9356bf6f4b6155,verification:01c8b3ab3590bb2f91944ca14f5afc7b67858114f5da0061ace74c0c89345132
task007b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,0.9,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",689,6,0.00087625,8b36990d9f4899e8dfcf85f7071b8b530a68387b6b835492fcbd6b1d18689d60,verification:d3896708376bcef2c380ce0be487208d90243954c5354d961b287f1e31063764
