study_id,run_id,request_key,question_id,model_alias,model_endpoint,task,delta,q_delta,rendered_q_delta,parsed_action,verify,incorrect,reused_delta0,estimated_cost_usd,q1,input_tokens,output_tokens
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:39784d30d497de4ab207de6b15a562cfa97005daa10b61af3c25bdee9341e2ae,mmlu_pro:test:93,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001652,0.99,333,16
,,verification:a2ff7dfd5f69810da0f834393b30e607d3509712186cb34f595d9ee2a94c26e7,mmlu_pro:test:93,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001652,0.99,333,16
,,verification:b89f75eaba4a5ab030ed79599524d68a206e965cf6c071c97c926c99dd43ee48,mmlu_pro:test:93,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001652,0.99,333,16
,,verification:b39d61a10dc24a140f94c8d5b100cec70e6746a8e32b49066fa5c9abf13ceff2,mmlu_pro:test:93,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001652,0.99,333,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.75,0.75,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:cba8bfc60ba5680b015ea67379cee5b17e45a45999363dcc4cb8774ec5ae46ae,mmlu_pro:test:93,anthropic_sonnet5,,mmlu,-1.5,0.40097897303615737,,VERIFY_FIRST,True,False,False,0.001562,0.75,691,18
,,verification:33b1e2480bc09baa2fbb22f30e9e0da3f93e829903e55fa079ebabe88d4dbd17,mmlu_pro:test:93,anthropic_sonnet5,,mmlu,-0.75,0.5862810221341224,,VERIFY_FIRST,True,False,False,0.001562,0.75,691,18
,,verification:9bee6ee5a47735494dc244357a2885239a5cd48c5c98e9e9d369086935b73457,mmlu_pro:test:93,anthropic_sonnet5,,mmlu,0.75,0.863964087441132,,VERIFY_FIRST,True,False,False,0.001582,0.75,691,20
,,verification:67a1797b456c0dd4e3db4ffca7b910d3e062a11ff7f7d6be2658d88425dba896,mmlu_pro:test:93,anthropic_sonnet5,,mmlu,1.5,0.9307722154980691,,VERIFY_FIRST,True,False,False,0.001632,0.75,691,25
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:e2090eeaf7df7d03356bc36bd5ee19b0a12998464c8957091a038b4bf6a97458,mmlu_pro:test:140,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.00184,0.99,380,16
,,verification:c2562cd607acfa82eaf2f590e4bd335835b195b316fec136eb36477369aecd8a,mmlu_pro:test:140,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.00184,0.99,380,16
,,verification:1a4273041a88ee78767997e055660c3ada06bd72a28193257f64f381da78e6bc,mmlu_pro:test:140,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.00184,0.99,380,16
,,verification:623c4a1ae485365862bc5192f3e2ecc733bdfc30b40471a02476408ba4ce3ba3,mmlu_pro:test:140,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.00184,0.99,380,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.85,0.85,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:99d4a8b6145650971cf8947355fae5c8398205e309852221a1f9e9e5d81a6391,mmlu_pro:test:140,anthropic_sonnet5,,mmlu,-1.5,0.5583827383980898,,VERIFY_FIRST,True,False,False,0.001702,0.85,761,18
,,verification:2d47e54c558d30805e2ca44823e47d4501777e277a01bd91d01c7b9fa1973ce6,mmlu_pro:test:140,anthropic_sonnet5,,mmlu,-0.75,0.7280202117132848,,VERIFY_FIRST,True,False,False,0.001702,0.85,761,18
,,verification:56fb2f110c82d5095348f5ec98fee558c3a4f9b5dec3623410e2e93eb443aefa,mmlu_pro:test:140,anthropic_sonnet5,,mmlu,0.75,0.9230552212606222,,VERIFY_FIRST,True,False,False,0.001702,0.85,761,18
,,verification:7a1745f2a72750aefc1a1217a2c6dbe16e1ab544589f053f723fe62a144fc4ec,mmlu_pro:test:140,anthropic_sonnet5,,mmlu,1.5,0.9621158137182997,,VERIFY_FIRST,True,False,False,0.001722,0.85,761,20
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:b4a05f11137565e675665b50ba7af64803ad467388293aae0dc4857487ccb6e4,mmlu_pro:test:151,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.00224,0.99,480,16
,,verification:d39836938838a0a0e4df8bb2326d5e5463b300fbe437e37edd06e294a8446f08,mmlu_pro:test:151,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.00224,0.99,480,16
,,verification:0846a849d54482e842e46d594d2165d6a52577dee0aaa9ca5faee7d8e9fe48d3,mmlu_pro:test:151,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.00224,0.99,480,16
,,verification:2783db5d216cef1b68c1150d95ff1c264c382a8af62ee3c2665bd564709e5db7,mmlu_pro:test:151,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.00224,0.99,480,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.72,0.72,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:38ab5bcb60ded678460ee91165ff44cd3dbf7de9b398f615648e19207b4f1aca,mmlu_pro:test:151,anthropic_sonnet5,,mmlu,-1.5,0.3645804170628424,,VERIFY_FIRST,True,False,False,0.002166,0.72,993,18
,,verification:8892d3665ed1e6827301ff47dee282dc9e035715a0a1a9e53223645031f60dc7,mmlu_pro:test:151,anthropic_sonnet5,,mmlu,-0.75,0.5484627787629106,,VERIFY_FIRST,True,False,False,0.00215,0.72,985,18
,,verification:326d1081df1321ccd99011339ba642b96096e6bcce092c19ed66f8b02c056922,mmlu_pro:test:151,anthropic_sonnet5,,mmlu,0.75,0.8448100041326249,,VERIFY_FIRST,True,False,False,0.002154,0.72,987,18
,,verification:32ade075b3341a5e34efef8b1d2c868ab63fe46ca68b0b3067087618cebb0502,mmlu_pro:test:151,anthropic_sonnet5,,mmlu,1.5,0.9201554944517072,,VERIFY_FIRST,True,False,False,0.00217,0.72,985,20
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:32b13038c4ee128a5b6ec04f383ed33d90ba741fe9cefcce932d97e9ca6e17cf,mmlu_pro:test:158,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.00154,0.99,305,16
,,verification:2e17341aa513888e4ef3bbbaf5cc301e24b289fe944fbc9d7771d03628257728,mmlu_pro:test:158,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.00154,0.99,305,16
,,verification:5bc073f9467315a28a6a4bfaf6d62d203e2eb69f7bac5a3871288729949b810a,mmlu_pro:test:158,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.00154,0.99,305,16
,,verification:b45cce15c14c29a19f2e4d5ea2a9bed604694d5855c90c977a8c88375678887d,mmlu_pro:test:158,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.00154,0.99,305,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.9,0.9,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:df2895520f35c056532f777ab0050dc4c68739bd8ec845dca54c7a94087ea6a1,mmlu_pro:test:158,anthropic_sonnet5,,mmlu,-1.5,0.6675721382568807,,VERIFY_FIRST,True,False,False,0.001678,0.9,749,18
,,verification:58a928fd5989ce3444c17ef8a8192177f6625dbeaaa45867a6abb41e428b350f,mmlu_pro:test:158,anthropic_sonnet5,,mmlu,-0.75,0.8095709261986922,,VERIFY_FIRST,True,False,False,0.001586,0.9,663,26
,,verification:54ed38d94b09f64054d5968381c7aefa5eca0f83a6e32205126beabc8ce07b47,mmlu_pro:test:158,anthropic_sonnet5,,mmlu,0.75,0.950132150174834,,VERIFY_FIRST,True,False,False,0.001684,0.9,752,18
,,verification:f312644a751810cbe1c628ad8fc9684977d85604cffb5e1761376ac45b84bdda,mmlu_pro:test:158,anthropic_sonnet5,,mmlu,1.5,0.9758075451312032,,VERIFY_FIRST,True,False,False,0.001886,0.9,663,56
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:84d48a7ae7b81e9fae3df152a0b8e11bc542f85795e66b4f2fb1ad01b2bca2cb,mmlu_pro:test:164,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.003044,0.99,681,16
