question_id,model_alias,model_endpoint,extraction_status,malformed,input_tokens,output_tokens,estimated_cost_usd,latency_ms,passed,request_key
1899_B,openai_gpt56_sol,gpt-5.6-sol,fenced,0,828,241,0.008132,6485.4151249164715,1,code:957fc128d69ec1baa89ad4e85a4bd4837268a5f6ec4ee0ba4f161e2d94d2ec3c
1899_B,anthropic_sonnet5,claude-sonnet-5,fenced,0,1111,1714,0.019362,15259.659125003964,1,code:86ea407df5888e25435838760a334730a1fee4f9bc3fa9472433ef45465322db
1899_D,openai_gpt56_sol,gpt-5.6-sol,fenced,0,813,219,0.007632,4296.384583925828,1,code:85862ca148b789ec86426e97139bfecdb5360d93c60fd78924bcf23ced64e0e3
1899_D,anthropic_sonnet5,claude-sonnet-5,fenced,0,1073,1139,0.013536,9811.028208001517,1,code:e35893513727b6a89d5616dbc8466cc3c6d7b2695b626a8e0c04e902d1a42eb2
2808,openai_gpt56_sol,gpt-5.6-sol,fenced,0,467,194,0.005748,3727.416833047755,1,code:e8ffda6eadb0e14adf44fb8dbf202977c1b3443880c9c431b6d68d3d32b95404
2808,anthropic_sonnet5,claude-sonnet-5,fenced,0,639,229,0.003568,2758.3955000154674,1,code:7fd1f0b1f92469d90e3cb889657de5b643226426c132a27d63010158db9471d4
2849,openai_gpt56_sol,gpt-5.6-sol,fenced,0,575,163,0.00556,3628.401541034691,1,code:4a9b84bfefc5637170a4cb13cddf2d116bfb46bc294b7097f3374ada38baaeb2
2849,anthropic_sonnet5,claude-sonnet-5,fenced,0,828,437,0.006026,4418.162084068172,1,code:4d79d701b0f9f1cce1b77ff9accff007550b6d2bf7d3a64aa2e95960152cbd72
2879,openai_gpt56_sol,gpt-5.6-sol,fenced,0,593,463,0.011632,6380.975959007628,1,code:e629d9ce09a8083c1ff9be18cb844f907163bd0c8a38dc3c820e9e3e1f60a8cb
2879,anthropic_sonnet5,claude-sonnet-5,fenced,0,818,559,0.007226,4888.828750001267,0,code:508b3c4d836eea193c195a7eefa6ff308cce7e0d8d3ee77d6f42581b2474c881
2919,openai_gpt56_sol,gpt-5.6-sol,fenced,0,568,93,0.004132,2624.6227499796078,1,code:011b1f7f84ecdbe0ecc6e38d309c349f24b467e8a1dc8b09bc0fb0abe023fd6d
2919,anthropic_sonnet5,claude-sonnet-5,fenced,0,820,120,0.00284,1849.3927089730278,1,code:51b74f379bde6fb14f2b9d6570d31c9990e9877533d71efee50b5df7760858fe
