source,question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,parsed_action,verify,raw_response,input_tokens,output_tokens,estimated_cost_usd,prompt_hash,request_key
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",348,14,0.001672,1c459b6eb92fe1d01e351530e35bfe0baada3c8915125e3aee00568e112eed42,verification:1874a48712364aeeab0b57431d43021ddd704055055b83d4c720681eb59b93d2
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",365,14,0.00174,8dd11d7ef78a456be978a5e0ab207f525207739fe1287b1e3be6b7618df1b07f,verification:3f2ef5cd66fc1c78d0154e4e8bfbee8f781aa9955200f5201c3824e384c15694
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",365,14,0.00174,0b3798e427ae24271d147f353dd6b580bff8d58e9d30ebddf1f48d9d6d59808f,verification:a030dd97a85c7f9d04df03aa3d12d5cf30a9f0fd2f285c38a981255f050499a1
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,I,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",365,16,0.00178,05f2df32cdb7aa621debb2ad4aeed31950ea5e273c2120ff1cf2d3c5018c44c6,verification:c86a9091f4405fb11804e7ba151e81f7d1b0066e94879e4c099bf3e97f7c9408
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",349,14,0.001676,e71359815eea3d90ea8cf7e76dcff6162a883ec7713666f53ba7a52616038249,verification:b3cd2b4a9934dbfbb7a7b74b9e95dcc0ee035e1d7b0ad8d60071bf1a0056b210
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",366,14,0.001744,eb23d0b8a7d60fdf52b8241366b9bfcc13d4c6226e19994233455efd15db35ec,verification:097e4c1f6091067f871b62bb2be32eee9262daf7a5279f0b2877e7adafafb02d
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",366,14,0.001744,9d5e7d3ebf104591f84fb7df5f8b037b9631ad1dd4a1f85ea3b5e96dac15306f,verification:5bd8889a650f49931f49e09f189648639da7c386e3ddfb5120134b098d3367f0
task007a,mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.99,0.99,0.99,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",366,14,0.001744,b8ce3a28178b29b937aa1ecdd2e8b6620da6378c490fd1b00d2741df2d113401,verification:a5a49b86867db725cabb76736b9345ce1643f8878ea58b17c17960f260e8be98
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",727,18,0.001634,c250f9a90655aa74fc58485b9801ec907744fff7449e5bb30e5f930609eb4ae0,verification:d4fa36d9ca017e9edd06c2021fc474fb65f17482eecd3183fd85a424067bace8
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",755,18,0.00169,f358117e5b83d78ad00e3187e18db0088084087ab5bcb5449d6fe5e866797b7f,verification:36a8a74b32f9098eea400a5acbef6c034fb623791f1ef17df2a8f5ee10f19013
