question_id,model_alias,model_endpoint,frozen_answer,q1,stage1_correct,prompt_hash,request_key,prompt_version
mmlu_pro:test:79,openai_gpt56_sol,gpt-5.6-sol,F,0.99,True,23e5baccee609500f4d83fa02d3f7195f8e58ed79b317dd47e30683abe6a1ab2,confidence:49aabec39dd60e1e43074b6432821eb4458435c9a2987aacaf315c3cfee866e9,stage_2_confidence_v3_structured_compat
mmlu_pro:test:79,anthropic_sonnet5,claude-sonnet-5,F,0.9,True,23e5baccee609500f4d83fa02d3f7195f8e58ed79b317dd47e30683abe6a1ab2,confidence:6cf6b7c3581c8950a11f30f6498ccb17c7be2bbfa55b794972357b476b115119,stage_2_confidence_v3_structured_compat
mmlu_pro:test:81,openai_gpt56_sol,gpt-5.6-sol,C,0.99,False,21b5db9fde7a9224bd8e47eac4170ef83fc2584790f71ecc40a9bf98bf7cdd0c,confidence:163c2962e5f1835b0b5c9abe40cde31b9fe2a66a03a1e7d68d10a8a27156ffe4,stage_2_confidence_v3_structured_compat
mmlu_pro:test:81,anthropic_sonnet5,claude-sonnet-5,C,0.55,False,21b5db9fde7a9224bd8e47eac4170ef83fc2584790f71ecc40a9bf98bf7cdd0c,confidence:fa90ee77ac5b5652095bc6f69e63e43f9bc1adc372a524d579922397d1ffc061,stage_2_confidence_v3_structured_compat
mmlu_pro:test:115,openai_gpt56_sol,gpt-5.6-sol,J,0.98,True,d48c96d14dfc0ead90f8c3794b53aad71f8474a3e5102f14a682410cfa1ae398,confidence:a9103a1f3231cac3c1bd5c48e1205cd4a018080907656a1ad232883267e4bb75,stage_2_confidence_v3_structured_compat
mmlu_pro:test:115,anthropic_sonnet5,claude-sonnet-5,J,0.35,True,d48c96d14dfc0ead90f8c3794b53aad71f8474a3e5102f14a682410cfa1ae398,confidence:3b76dd15ce269074db59a8fe93ce5cd18496d472ff37db53dc22eeb37aff65d2,stage_2_confidence_v3_structured_compat
mmlu_pro:test:129,openai_gpt56_sol,gpt-5.6-sol,D,0.84,False,f2b45eaf80550b65775833c88dfdab13cba208392ea2e6ec0e195f46dcd3c4ec,confidence:555dd89b82606c51269e27a9155865518a7ed7816417005f9e02bca3b6c1bf6f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:129,anthropic_sonnet5,claude-sonnet-5,D,0.55,False,f2b45eaf80550b65775833c88dfdab13cba208392ea2e6ec0e195f46dcd3c4ec,confidence:dd0e9a565162fbbe793e8ef9239ec5f3d776629450474c4a9b00165545de135b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:136,openai_gpt56_sol,gpt-5.6-sol,H,0.99,True,530ac2a1b653876c4801464d58bec1bf41b3e4c0d909f60657519bdec0898221,confidence:9910427c4418183f6fdefc8961fedaf18ff016f02b38265c21f9468ae3be420f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:136,anthropic_sonnet5,claude-sonnet-5,H,0.85,True,530ac2a1b653876c4801464d58bec1bf41b3e4c0d909f60657519bdec0898221,confidence:2fc536792980bb0e3e5cf885f90b6b6a2125cb1974dc71bbb0c5e2f73c669b93,stage_2_confidence_v3_structured_compat
