model_alias,model_label,L,low_displayed,high_displayed,n_questions,rate_low,rate_high,difference,ci_lower,ci_upper,verify_to_use,use_to_verify,no_change,seed,n_resamples,correctness_split
openai_gpt56_sol,GPT,10.0,0.89,0.91,81,1.0,0.024691358024691357,0.9753086419753086,0.9382716049382716,1.0,79,0,2,20260917,5000,correct
openai_gpt56_sol,GPT,10.0,0.89,0.91,19,1.0,0.10526315789473684,0.8947368421052632,0.7368421052631579,1.0,17,0,2,20260917,5000,incorrect
openai_gpt56_sol,GPT,20.0,0.94,0.96,81,0.9753086419753086,0.012345679012345678,0.9629629629629629,0.9135802469135802,1.0,78,0,3,20260917,5000,correct
openai_gpt56_sol,GPT,20.0,0.94,0.96,19,0.9473684210526315,0.05263157894736842,0.8947368421052632,0.7368421052631579,1.0,17,0,2,20260917,5000,incorrect
anthropic_sonnet5,Claude,10.0,0.89,0.91,73,0.7397260273972602,0.6712328767123288,0.0684931506849315,0.0136986301369863,0.1232876712328767,5,0,68,20260917,5000,correct
anthropic_sonnet5,Claude,10.0,0.89,0.91,27,0.9259259259259259,0.8518518518518519,0.07407407407407407,0.0,0.18518518518518517,2,0,25,20260917,5000,incorrect
anthropic_sonnet5,Claude,20.0,0.94,0.96,73,0.726027397260274,0.6301369863013698,0.0958904109589041,0.0273972602739726,0.1643835616438356,7,0,66,20260917,5000,correct
anthropic_sonnet5,Claude,20.0,0.94,0.96,27,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0,0,27,20260917,5000,incorrect
openai_gpt56_sol,GPT,10.0,0.8,0.99,81,1.0,0.0,1.0,1.0,1.0,81,0,0,20260917,5000,correct
openai_gpt56_sol,GPT,10.0,0.8,0.99,19,1.0,0.0,1.0,1.0,1.0,19,0,0,20260917,5000,incorrect
openai_gpt56_sol,GPT,20.0,0.9,0.99,81,1.0,0.0,1.0,1.0,1.0,81,0,0,20260917,5000,correct
openai_gpt56_sol,GPT,20.0,0.9,0.99,19,1.0,0.10526315789473684,0.8947368421052632,0.7368421052631579,1.0,17,0,2,20260917,5000,incorrect
anthropic_sonnet5,Claude,10.0,0.8,0.99,73,0.821917808219178,0.3835616438356164,0.4383561643835616,0.3287671232876712,0.547945205479452,32,0,41,20260917,5000,correct
anthropic_sonnet5,Claude,10.0,0.8,0.99,27,0.9629629629629629,0.8148148148148148,0.14814814814814814,0.037037037037037035,0.2962962962962963,4,0,23,20260917,5000,incorrect
anthropic_sonnet5,Claude,20.0,0.9,0.99,73,0.863013698630137,0.5068493150684932,0.3561643835616438,0.2465753424657534,0.4657534246575342,26,0,47,20260917,5000,correct
anthropic_sonnet5,Claude,20.0,0.9,0.99,27,1.0,0.9259259259259259,0.07407407407407407,0.0,0.18518518518518517,2,0,25,20260917,5000,incorrect
