label,task,model_alias,policy,n,n_incorrect,n_verify_first,verification_coverage,coverage_ci_lo,coverage_ci_hi,n_incorrect_verified,n_incorrect_unverified,leakage_rate,leakage_ci_lo,leakage_ci_hi,error_catch_rate,verification_precision,errors_caught_per_100,errors_unverified_per_100,error_rate,ci_source
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,500,85,198,0.396,0.352,0.438,66,19,0.038,0.022,0.056,0.7764705882352941,0.3333333333333333,13.2,3.8,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,500,85,62,0.124,0.096,0.152,25,60,0.12,0.092,0.15,0.29411764705882354,0.4032258064516129,5.0,12.0,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,500,85,292,0.584,0.54,0.628,75,10,0.02,0.008,0.034,0.8823529411764706,0.2568493150684932,15.0,2.0,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,500,85,114,0.228,0.192,0.266,43,42,0.084,0.06,0.108,0.5058823529411764,0.37719298245614036,8.6,8.4,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,500,85,90,0.18,0.146,0.214,34,51,0.102,0.076,0.12804999999999928,0.4,0.37777777777777777,6.8,10.2,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,500,85,72,0.144,0.114,0.176,28,57,0.114,0.086,0.142,0.32941176470588235,0.3888888888888889,5.6,11.4,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,500,85,41,0.082,0.06,0.10604999999999927,16,69,0.138,0.108,0.168,0.18823529411764706,0.3902439024390244,3.2,13.8,0.17,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,500,121,327,0.654,0.612,0.696,107,14,0.028,0.014,0.044,0.8842975206611571,0.327217125382263,21.4,2.8,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,500,121,397,0.794,0.758,0.83,116,5,0.01,0.002,0.02,0.9586776859504132,0.29219143576826195,23.2,1.0,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,500,121,462,0.924,0.9,0.946,121,0,0.0,0.0,0.0,1.0,0.2619047619047619,24.2,0.0,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,500,121,400,0.8,0.764,0.834,115,6,0.012,0.004,0.022,0.9504132231404959,0.2875,23.0,1.2,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,500,121,388,0.776,0.738,0.812,114,7,0.014,0.004,0.026,0.9421487603305785,0.29381443298969073,22.8,1.4,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,500,121,323,0.646,0.604,0.688,109,12,0.024,0.012,0.038,0.9008264462809917,0.33746130030959753,21.8,2.4,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,500,121,285,0.57,0.524,0.612,102,19,0.038,0.022,0.056,0.8429752066115702,0.35789473684210527,20.4,3.8,0.242,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,hidden,286,153,93,0.32517482517482516,0.2727272727272727,0.3811188811188811,79,74,0.25874125874125875,0.2097902097902098,0.3111888111888112,0.5163398692810458,0.8494623655913979,27.622377622377623,25.874125874125873,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,true_q_visible,286,153,78,0.2727272727272727,0.2202797202797203,0.32517482517482516,68,85,0.2972027972027972,0.24475524475524477,0.34965034965034963,0.4444444444444444,0.8717948717948718,23.776223776223777,29.72027972027972,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,286,153,180,0.6293706293706294,0.5699300699300699,0.6853146853146853,122,31,0.10839160839160839,0.07342657342657342,0.14335664335664336,0.7973856209150327,0.6777777777777778,42.65734265734266,10.839160839160838,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,286,153,127,0.44405594405594406,0.3881118881118881,0.5034965034965035,99,54,0.1888111888111888,0.14335664335664336,0.23426573426573427,0.6470588235294118,0.7795275590551181,34.61538461538461,18.88111888111888,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,286,153,108,0.3776223776223776,0.32167832167832167,0.43356643356643354,92,61,0.21328671328671328,0.16774475524475527,0.26223776223776224,0.6013071895424836,0.8518518518518519,32.16783216783217,21.32867132867133,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,286,153,83,0.2902097902097902,0.23776223776223776,0.34615384615384615,73,80,0.27972027972027974,0.22727272727272727,0.3321678321678322,0.477124183006536,0.8795180722891566,25.524475524475523,27.972027972027973,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,286,153,69,0.24125874125874125,0.19230769230769232,0.2937062937062937,59,94,0.32867132867132864,0.2761363636363636,0.38461538461538464,0.38562091503267976,0.855072463768116,20.62937062937063,32.86713286713287,0.534965034965035,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,hidden,286,163,282,0.986013986013986,0.972027972027972,0.9965034965034965,162,1,0.0034965034965034965,0.0,0.01048951048951049,0.9938650306748467,0.574468085106383,56.64335664335665,0.34965034965034963,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,true_q_visible,286,163,280,0.9790209790209791,0.9615384615384616,0.993006993006993,159,4,0.013986013986013986,0.0034965034965034965,0.027972027972027972,0.9754601226993865,0.5678571428571428,55.59440559440559,1.3986013986013985,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,286,163,285,0.9965034965034965,0.9895104895104895,1.0,163,0,0.0,0.0,0.0,1.0,0.5719298245614035,56.99300699300699,0.0,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,286,163,284,0.993006993006993,0.9825174825174825,1.0,162,1,0.0034965034965034965,0.0,0.01048951048951049,0.9938650306748467,0.5704225352112676,56.64335664335665,0.34965034965034963,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,286,163,282,0.986013986013986,0.972027972027972,0.9965034965034965,160,3,0.01048951048951049,0.0,0.024475524475524476,0.9815950920245399,0.5673758865248227,55.94405594405595,1.048951048951049,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,286,163,279,0.9755244755244755,0.958041958041958,0.9895104895104895,159,4,0.013986013986013986,0.0034965034965034965,0.027972027972027972,0.9754601226993865,0.5698924731182796,55.59440559440559,1.3986013986013985,0.5699300699300699,task012_question_bootstrap_5000
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.99,286,163,271,0.9475524475524476,0.9195804195804196,0.972027972027972,159,4,0.013986013986013986,0.0034965034965034965,0.027972027972027972,0.9754601226993865,0.5867158671586716,55.59440559440559,1.3986013986013985,0.5699300699300699,task012_question_bootstrap_5000
