action_agreement,confidence_visibility,decision_owner,error_cost,model_id,n,paraphrase_verify_rate,primary_verify_rate
0.9,hidden,ai_system,10.0,anthropic_sonnet5,100,0.62,0.58
0.9,hidden,ai_system,2.0,anthropic_sonnet5,100,0.57,0.51
0.91,hidden,ai_system,20.0,anthropic_sonnet5,100,0.68,0.67
0.91,hidden,ai_system,5.0,anthropic_sonnet5,100,0.62,0.55
0.98,visible,ai_system,10.0,anthropic_sonnet5,100,0.82,0.8
0.95,visible,ai_system,2.0,anthropic_sonnet5,100,0.7,0.65
0.96,visible,ai_system,20.0,anthropic_sonnet5,100,0.87,0.87
0.99,visible,ai_system,5.0,anthropic_sonnet5,100,0.78,0.77
0.89,hidden,human,10.0,anthropic_sonnet5,100,0.57,0.5
0.9,hidden,human,2.0,anthropic_sonnet5,100,0.53,0.53
0.93,hidden,human,20.0,anthropic_sonnet5,100,0.61,0.56
0.88,hidden,human,5.0,anthropic_sonnet5,100,0.58,0.52
0.93,visible,human,10.0,anthropic_sonnet5,100,0.78,0.75
0.96,visible,human,2.0,anthropic_sonnet5,100,0.65,0.63
0.95,visible,human,20.0,anthropic_sonnet5,100,0.82,0.81
0.94,visible,human,5.0,anthropic_sonnet5,100,0.71,0.75
0.94,hidden,ai_system,10.0,google_gemini38_flash,100,0.15,0.11
0.95,hidden,ai_system,2.0,google_gemini38_flash,100,0.09,0.08
0.93,hidden,ai_system,20.0,google_gemini38_flash,100,0.12,0.15
0.97,hidden,ai_system,5.0,google_gemini38_flash,100,0.13,0.12
1.0,visible,ai_system,10.0,google_gemini38_flash,100,0.26,0.26
1.0,visible,ai_system,2.0,google_gemini38_flash,100,0.05,0.05
0.98,visible,ai_system,20.0,google_gemini38_flash,100,0.29,0.29
0.99,visible,ai_system,5.0,google_gemini38_flash,100,0.1,0.09
0.92,hidden,human,10.0,google_gemini38_flash,100,0.13,0.09
0.96,hidden,human,2.0,google_gemini38_flash,100,0.11,0.07
0.94,hidden,human,20.0,google_gemini38_flash,100,0.14,0.08
0.96,hidden,human,5.0,google_gemini38_flash,100,0.1,0.06
1.0,visible,human,10.0,google_gemini38_flash,100,0.26,0.26
1.0,visible,human,2.0,google_gemini38_flash,100,0.05,0.05
1.0,visible,human,20.0,google_gemini38_flash,100,0.27,0.27
0.98,visible,human,5.0,google_gemini38_flash,100,0.09,0.11
0.8,hidden,ai_system,10.0,openai_gpt56_sol,100,0.53,0.41
0.89,hidden,ai_system,2.0,openai_gpt56_sol,100,0.37,0.28
0.81,hidden,ai_system,20.0,openai_gpt56_sol,100,0.58,0.39
0.86,hidden,ai_system,5.0,openai_gpt56_sol,100,0.44,0.3
0.98,visible,ai_system,10.0,openai_gpt56_sol,100,0.21,0.19
0.97,visible,ai_system,2.0,openai_gpt56_sol,100,0.07,0.04
0.98,visible,ai_system,20.0,openai_gpt56_sol,100,0.28,0.26
1.0,visible,ai_system,5.0,openai_gpt56_sol,100,0.13,0.13
0.83,hidden,human,10.0,openai_gpt56_sol,100,0.5,0.37
0.86,hidden,human,2.0,openai_gpt56_sol,100,0.37,0.25
0.75,hidden,human,20.0,openai_gpt56_sol,100,0.56,0.41
0.81,hidden,human,5.0,openai_gpt56_sol,100,0.45,0.3
1.0,visible,human,10.0,openai_gpt56_sol,100,0.19,0.19
0.96,visible,human,2.0,openai_gpt56_sol,100,0.07,0.05
0.98,visible,human,20.0,openai_gpt56_sol,100,0.26,0.24
1.0,visible,human,5.0,openai_gpt56_sol,100,0.13,0.13
0.93,hidden,ai_system,10.0,xai_grok420_nonreasoning,100,0.94,0.97
0.93,hidden,ai_system,2.0,xai_grok420_nonreasoning,100,0.92,0.93
0.92,hidden,ai_system,20.0,xai_grok420_nonreasoning,100,0.94,0.96
0.97,hidden,ai_system,5.0,xai_grok420_nonreasoning,100,0.96,0.93
0.81,visible,ai_system,10.0,xai_grok420_nonreasoning,100,0.84,0.79
0.77,visible,ai_system,2.0,xai_grok420_nonreasoning,100,0.82,0.75
0.86,visible,ai_system,20.0,xai_grok420_nonreasoning,100,0.83,0.87
0.87,visible,ai_system,5.0,xai_grok420_nonreasoning,100,0.87,0.84
0.98,hidden,human,10.0,xai_grok420_nonreasoning,100,0.98,0.98
0.98,hidden,human,2.0,xai_grok420_nonreasoning,100,0.98,0.98
0.97,hidden,human,20.0,xai_grok420_nonreasoning,100,0.98,0.97
0.97,hidden,human,5.0,xai_grok420_nonreasoning,100,0.96,0.97
0.87,visible,human,10.0,xai_grok420_nonreasoning,100,0.86,0.85
0.82,visible,human,2.0,xai_grok420_nonreasoning,100,0.84,0.78
0.9,visible,human,20.0,xai_grok420_nonreasoning,100,0.86,0.86
0.84,visible,human,5.0,xai_grok420_nonreasoning,100,0.82,0.82
