question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,reported_confidence,parsed_action,verify,repeat_index,roster,prompt_hash,request_key,estimated_cost_usd,raw_response
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,H,True,0.99,USE_UNVERIFIED,0,0,primary,3e7cc96b9b94787dc0e68091acd677654a0761a82986a9df3bd6888e821dd7c1,verification:abf67fe6386dcbc06f3c1434ea198105cb6a7cd09f8955b4833c151d46c0193d,0.001572,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,H,True,0.99,USE_UNVERIFIED,0,0,primary,c7dd2094c7bcad3da7fa74c423d5da8db04e1e1bdb4f46fc5852824b43161d69,verification:9112879c543f852b01136313e3ff5c25eb81c15d24a01416b57ff2ef49f341b0,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,H,True,0.99,USE_UNVERIFIED,0,0,primary,3dfeff5d8f3bfdb4af4639512fc41434dc2badb8e29c7168d629883e3efb1900,verification:548ee15f7c57936bfb70b0b2647536172b1430f5796d45c93a26aa54a2110952,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,H,True,0.99,USE_UNVERIFIED,0,0,primary,63a4174c75ccc231c407f62d8636e540e5634fa4a9c39b9716cc1805461d0a73,verification:c02f1a5210abad3265c831c4ae239a1c956e80a0498b107806235522a4a4e34f,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,H,True,0.99,USE_UNVERIFIED,0,0,primary,29a8aa5fa5e4c265baac490cda7158702e353fafe5bb6dc6dacc1302c3061b41,verification:0a2fe75dfeca7abd12225bf7c6b9de5e45ccac7f80987b1bfd85c1921e755244,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,H,True,0.99,USE_UNVERIFIED,0,0,primary,7d6f8876fb4e2ba84fec5570aeec03f0055610768d284b4fabce685bbd3a00b0,verification:e27eb37ee42441e633bc052daee3b740e8a5ece48bb415a8ef376d69a8257a04,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,H,True,0.99,USE_UNVERIFIED,0,0,primary,c7dd2094c7bcad3da7fa74c423d5da8db04e1e1bdb4f46fc5852824b43161d69,verification:ad3a28c26d667e57fcd1e0ffdf3ece8614453902f355c8da68862d57086c3bf9,0.00164,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,H,True,0.75,VERIFY_FIRST,1,0,primary,3e7cc96b9b94787dc0e68091acd677654a0761a82986a9df3bd6888e821dd7c1,verification:5791f9e63c9ca660b5106f18b5f1429b8aee3f5ef86d3ca93f137f823c6183e1,0.00152,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,true_q_visible,0.75,0.75,H,True,0.75,VERIFY_FIRST,1,0,primary,65806744814771813d2dd5dd9a6ee9109a6dfae78b9777962ce94e673c84fa48,verification:a1e80782df525461e10621fc87ab127abf8eed25fba708f0fb196d2fb8f4bd06,0.001576,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,H,True,0.75,VERIFY_FIRST,1,0,primary,3dfeff5d8f3bfdb4af4639512fc41434dc2badb8e29c7168d629883e3efb1900,verification:a4188e65e888e3a7febcdd72359d462829e35f4dc6019983e5cc6428a5119a60,0.001556,"{""action"":""VERIFY_FIRST""}"
