model_alias,model_label,score_condition,n,n_wrong,auc,ci_lo,ci_hi,saturation,verify_rate,binary_rate_for_ref
openai_gpt56_sol,GPT,hidden,500,85,0.7280510276399716,0.6761673645476461,0.7792625,identifiable,0.396,0.396
openai_gpt56_sol,GPT,true_q_visible,500,85,0.6064493267186394,0.5568814638027049,0.6573251146788991,identifiable,0.124,0.122
openai_gpt56_sol,GPT,displayed_0.70,500,85,0.6845499645641389,0.6391268306161924,0.7271151831054032,identifiable,0.5893333333333334,0.59
openai_gpt56_sol,GPT,displayed_0.85,500,85,0.6694684620836286,0.6117073170731707,0.7246917630334345,identifiable,0.23066666666666666,0.23
openai_gpt56_sol,GPT,displayed_0.90,500,85,0.6292558469170801,0.5755747819792492,0.686033959621893,identifiable,0.17466666666666666,0.17
openai_gpt56_sol,GPT,displayed_0.95,500,85,0.6241814316087881,0.5729433077578858,0.680985778297292,identifiable,0.14533333333333331,0.144
openai_gpt56_sol,GPT,displayed_0.99,500,85,0.5736498936924166,0.5306208590212582,0.6217559824738793,identifiable,0.07933333333333333,0.076
anthropic_sonnet5,Claude,hidden,500,121,0.6568285396541573,0.6167239623121976,0.6947178148222535,identifiable,0.6546666666666667,0.656
anthropic_sonnet5,Claude,true_q_visible,500,121,0.6111014195686779,0.5817205670146847,0.6389632068784157,identifiable,0.7933333333333333,0.794
anthropic_sonnet5,Claude,displayed_0.70,500,121,0.550131926121372,0.5356200527704486,0.5657534246575342,identifiable,0.924,0.924
anthropic_sonnet5,Claude,displayed_0.85,500,121,0.6015940164417017,0.5704106666666667,0.6302741569068573,identifiable,0.8,0.8
anthropic_sonnet5,Claude,displayed_0.90,500,121,0.6120826882400401,0.5796425796425797,0.6415384615384616,identifiable,0.7746666666666666,0.776
anthropic_sonnet5,Claude,displayed_0.95,500,121,0.6688872413266752,0.6304694744560178,0.7042191142191141,identifiable,0.648,0.648
anthropic_sonnet5,Claude,displayed_0.99,500,121,0.6798556444754574,0.6376424832950619,0.7187051005747127,identifiable,0.5706666666666667,0.57
google_gemini38_flash,Gemini,hidden,200,18,0.7475579975579976,0.6217605923488276,0.8632872503840247,identifiable,0.105,0.105
google_gemini38_flash,Gemini,true_q_visible,200,18,0.692002442002442,0.5729729729729729,0.8194158782394076,identifiable,0.095,0.095
google_gemini38_flash,Gemini,displayed_0.70,200,18,0.7841880341880343,0.6774193548387096,0.8885714285714286,identifiable,0.205,0.205
google_gemini38_flash,Gemini,displayed_0.85,200,18,0.6974969474969475,0.5781440781440782,0.8226950354609929,identifiable,0.085,0.085
google_gemini38_flash,Gemini,displayed_0.90,200,18,0.6947496947496947,0.5792792792792792,0.8100102145045964,identifiable,0.09,0.09
google_gemini38_flash,Gemini,displayed_0.95,200,18,0.7002442002442002,0.5869565217391305,0.8220108695652174,identifiable,0.08,0.08
google_gemini38_flash,Gemini,displayed_0.99,200,18,0.6752136752136751,0.5610658771280533,0.7921052631578948,identifiable,0.07,0.07
xai_grok420_nonreasoning,Grok,hidden,200,66,0.5,0.5,0.5,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,1.0,1.0
xai_grok420_nonreasoning,Grok,true_q_visible,200,66,0.49988692899140663,0.4795829238999891,0.515625,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,0.985,0.985
xai_grok420_nonreasoning,Grok,displayed_0.70,200,66,0.5,0.5,0.5,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,1.0,1.0
xai_grok420_nonreasoning,Grok,displayed_0.85,200,66,0.5037313432835822,0.5,0.5125,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,0.995,0.995
xai_grok420_nonreasoning,Grok,displayed_0.90,200,66,0.5074626865671642,0.5,0.5189393939393939,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,0.99,0.99
xai_grok420_nonreasoning,Grok,displayed_0.95,200,66,0.5073496155585708,0.4847354138398915,0.5267287373156188,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,0.975,0.975
xai_grok420_nonreasoning,Grok,displayed_0.99,200,66,0.5369742198100407,0.4991732120711037,0.5743021346469622,identifiable,0.905,0.905
