example_id,subset,category,n_choices,question_char_len,source_index,dataset_name,split,dataset_revision,correct_label
mmlu_pro:test:158,repeat_100,business,10,111,87,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:338,repeat_100,business,10,176,266,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:348,repeat_100,business,10,266,276,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:539,repeat_100,business,10,344,464,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:596,repeat_100,business,10,328,521,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:629,repeat_100,business,10,205,554,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:734,repeat_100,business,10,364,657,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:1080,repeat_100,law,9,563,1000,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:1111,repeat_100,law,10,350,1030,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:1174,repeat_100,law,10,1704,1092,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:1306,repeat_100,law,8,1441,1222,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:1642,repeat_100,law,10,423,1549,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:1645,repeat_100,law,8,772,1552,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:1881,repeat_100,law,10,890,1786,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:2044,repeat_100,psychology,8,62,1945,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:2231,repeat_100,psychology,10,128,2131,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:2286,repeat_100,psychology,4,62,2185,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:2321,repeat_100,psychology,10,88,2220,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:2448,repeat_100,psychology,10,211,2345,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:2662,repeat_100,psychology,6,74,2554,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:2785,repeat_100,psychology,10,60,2669,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:2825,repeat_100,biology,10,197,2708,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:2863,repeat_100,biology,10,55,2745,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:3053,repeat_100,biology,4,90,2935,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:3229,repeat_100,biology,10,138,3108,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:3370,repeat_100,biology,10,98,3249,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:3418,repeat_100,biology,10,200,3297,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:3441,repeat_100,biology,10,112,3320,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:3602,repeat_100,chemistry,10,419,3481,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:3641,repeat_100,chemistry,10,325,3520,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:3797,repeat_100,chemistry,10,236,3674,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:4239,repeat_100,chemistry,10,459,4112,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:4498,repeat_100,chemistry,10,281,4366,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:4506,repeat_100,chemistry,10,87,4374,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:4553,repeat_100,chemistry,10,152,4421,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:4677,repeat_100,history,8,104,4545,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:4749,repeat_100,history,10,1160,4617,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:4758,repeat_100,history,10,32,4625,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:4890,repeat_100,history,10,1473,4751,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:4939,repeat_100,history,10,1173,4800,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:4954,repeat_100,history,10,1448,4815,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:4977,repeat_100,history,10,1044,4838,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:5023,repeat_100,history,10,2417,4883,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:5085,repeat_100,other,10,279,4943,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:5165,repeat_100,other,10,80,5023,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:5380,repeat_100,other,10,136,5237,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:5734,repeat_100,other,9,77,5579,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:5895,repeat_100,other,10,71,5737,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:5943,repeat_100,other,4,106,5784,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:5969,repeat_100,other,10,83,5810,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:6034,repeat_100,health,10,276,5874,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:6103,repeat_100,health,10,59,5942,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:6207,repeat_100,health,10,49,6045,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:6257,repeat_100,health,10,299,6095,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:6411,repeat_100,health,8,76,6247,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:6449,repeat_100,health,9,377,6285,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:6735,repeat_100,health,7,70,6569,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:6859,repeat_100,economics,10,251,6692,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:6924,repeat_100,economics,4,81,6757,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:7126,repeat_100,economics,10,354,6956,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:7418,repeat_100,economics,10,81,7238,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:7485,repeat_100,economics,10,203,7303,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:7536,repeat_100,economics,10,121,7353,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:7624,repeat_100,economics,10,62,7441,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:8092,repeat_100,math,10,131,7908,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:8105,repeat_100,math,9,68,7921,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:8135,repeat_100,math,10,52,7951,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:8277,repeat_100,math,10,62,8091,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:8419,repeat_100,math,10,111,8232,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:8540,repeat_100,math,10,218,8353,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:8594,repeat_100,math,10,193,8407,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:9399,repeat_100,physics,10,59,9210,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:9570,repeat_100,physics,10,164,9381,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:9774,repeat_100,physics,10,226,9584,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:9794,repeat_100,physics,10,201,9604,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:9892,repeat_100,physics,10,288,9700,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:10148,repeat_100,physics,10,332,9950,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:10210,repeat_100,physics,10,76,10010,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:10312,repeat_100,physics,10,161,10110,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:10385,repeat_100,computer science,10,504,10182,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
