example_id,category,n_choices,question_char_len,source_index,dataset_revision,correct_label
mmlu_pro:test:70,business,9,175,0,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:71,business,10,191,1,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:72,business,10,316,2,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:73,business,10,104,3,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:74,business,10,277,4,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:75,business,10,106,5,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:76,business,10,118,6,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:77,business,10,127,7,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:78,business,10,103,8,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:80,business,10,168,10,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:82,business,10,73,12,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:83,business,10,99,13,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:84,business,10,121,14,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:85,business,10,56,15,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:86,business,10,436,16,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:87,business,10,255,17,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:88,business,10,446,18,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:89,business,10,283,19,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:90,business,10,164,20,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:91,business,10,305,21,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:92,business,10,206,22,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:93,business,10,245,23,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:94,business,10,276,24,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:95,business,10,167,25,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:96,business,10,377,26,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:97,business,10,102,27,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:98,business,10,211,28,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:99,business,10,129,29,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:100,business,10,151,30,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:101,business,10,180,31,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:102,business,10,576,32,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:103,business,10,228,33,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:104,business,10,203,34,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:105,business,10,382,35,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:106,business,10,214,36,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:107,business,10,146,37,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:108,business,10,243,38,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:109,business,10,420,39,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:110,business,10,103,40,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:111,business,10,309,41,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:112,business,10,117,42,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:113,business,10,832,43,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:114,business,10,203,44,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:116,business,10,208,46,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:117,business,10,121,47,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:118,business,10,422,48,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:119,business,10,145,49,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:120,business,10,195,50,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:121,business,10,390,51,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:122,business,10,239,52,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:123,business,10,219,53,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
