ai_action,confidence_visibility,error_cost,example_id,human_action,is_correct,model_id,probability_correct,prompt_family
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10036,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10036,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10036,USE_UNVERIFIED,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10047,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10047,USE_UNVERIFIED,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10047,USE_UNVERIFIED,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10047,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.4,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10047,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.4,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10061,USE_UNVERIFIED,True,anthropic_sonnet5,0.5,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10061,VERIFY_FIRST,True,google_gemini38_flash,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10061,USE_UNVERIFIED,True,google_gemini38_flash,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10061,USE_UNVERIFIED,True,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10061,VERIFY_FIRST,True,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10078,VERIFY_FIRST,True,openai_gpt56_sol,0.98,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:1010,VERIFY_FIRST,True,anthropic_sonnet5,0.72,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10152,USE_UNVERIFIED,True,anthropic_sonnet5,0.72,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10152,VERIFY_FIRST,True,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10152,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10164,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:1023,VERIFY_FIRST,False,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:1026,VERIFY_FIRST,True,openai_gpt56_sol,0.93,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:1026,USE_UNVERIFIED,True,openai_gpt56_sol,0.93,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10306,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10306,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10306,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10332,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10332,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10348,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10358,USE_UNVERIFIED,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10384,USE_UNVERIFIED,True,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10398,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10398,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10398,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10398,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10398,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10398,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10406,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10406,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10406,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10410,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10410,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
