question_id,model_alias,probability_correct,input_tokens,output_tokens,estimated_cost_usd,request_key
2919,anthropic_sonnet5,0.95,1111,13,0.002352,confidence:365224ea8005b8a3f51641509c3e364ffdbd6155e862bc65d1e5b094665c4d44
2919,openai_gpt56_sol,0.99,660,17,0.00298,confidence:83f1187154a6004ca7d0bc146bdd963bbe3b2be8b06a04d5cacf957a221630df
2808,anthropic_sonnet5,0.92,1041,13,0.002212,confidence:869d5e8ec41b35f2f5a4c2c8e855e51bdb91f4c1d4323ffde2ce451dc9481373
3153,anthropic_sonnet5,0.95,1140,13,0.00241,confidence:ff3f5300172502c7f887e4ab41749c791d3d531309c87b50c39b744c8587ff41
3196,anthropic_sonnet5,0.9,1134,13,0.002398,confidence:06d9740df1a205598ed6a783b46cffa3e2ec3458e505350987461d849a27fa69
2849,openai_gpt56_sol,0.99,737,17,0.003288,confidence:bfeb4f07d13d9a9fa90f3b1fe2a963e67e9ab1b1399372a3eb7008d8172f543c
2808,openai_gpt56_sol,0.99,657,17,0.002968,confidence:64e387d75d3bde942679cbe634f41aa7cf547de186ea145979c7f1995031beeb
3017,anthropic_sonnet5,0.93,1314,13,0.002758,confidence:0ab0ea3a8643ff2719eac1d7a64973760a3ff175d0d51cc004c974ea33e539b1
1899_D,openai_gpt56_sol,0.998,1010,17,0.00438,confidence:422b37c1e3608d390126b9ed2ee4e0b161c9480a23e817fa7cec54aa466caa76
2849,anthropic_sonnet5,0.9,1438,13,0.003006,confidence:15f96b2c6ee54bda4a7ac1b8f1f10951886165a586bdd138f9f3c75973d95eba
3212,anthropic_sonnet5,0.9,995,13,0.00212,confidence:f19237b6bb37716921d94a5b17a0f17173cce8ec3aa3023f5d2c9627764a47b1
3153,openai_gpt56_sol,0.998,747,17,0.003328,confidence:5bb6cfa8c286437d0666b9ffa893100eb110d8f447d1bd10dfba658ac794e407
3196,openai_gpt56_sol,0.98,663,17,0.002992,confidence:dd6ad856ff4bd07715cef2e68e0fa609772e79d94d807758ded6f32b1839c03b
2879,anthropic_sonnet5,0.9,1555,13,0.00324,confidence:e821b659c6fc22b4860ec7dbf4b49cee95839d44102f73ee65f729736550ee68
3211,openai_gpt56_sol,0.99,808,17,0.003572,confidence:06355c8b0f830843c6ba5cf7f16205910a25680385c740c70cdd6fe8e1fe676c
3017,openai_gpt56_sol,0.99,810,17,0.00358,confidence:d5b885f1888a799078e58e672ae4db05a645f58228bf91fac861bb6ea45fe05d
1899_B,openai_gpt56_sol,0.99,1047,17,0.004528,confidence:95af65c8e6ac40dc298674ca3dbb83f821eed150baf89a3a9cc3867e732990c1
2952,openai_gpt56_sol,0.99,745,17,0.00332,confidence:f51f30c966d33ec7b17f05a19e9f7913ca7e9424deb21eca6c00b9819bc348db
2879,openai_gpt56_sol,0.99,1054,17,0.004556,confidence:fd0d28c4cec3fd42bd0ae809d8fa3915fd61bc4a02dd7f75fccf4579011b59c0
3212,openai_gpt56_sol,0.99,531,17,0.002464,confidence:9a9934daf8072714d85fa36ba89d938309e302a5611befc922536595dff8b5e3
3224,openai_gpt56_sol,0.99,1312,17,0.005588,confidence:3d9893594f9d8a116a09e2ff23dae297a77300596f408afaf70d073155ac7d1b
