model_alias,family,from_score,to_score,n_questions,mean_delta_verify,ci_lower,ci_upper,n_increased,n_decreased,n_unchanged
openai_gpt56_sol,moderate,0.7,0.9,100,-0.39,-0.49,-0.3,0,39,61
openai_gpt56_sol,moderate,0.9,0.99,100,-0.13,-0.2,-0.07,0,13,87
openai_gpt56_sol,moderate,0.7,0.99,100,-0.52,-0.62,-0.42,0,52,48
openai_gpt56_sol,stronger,0.7,0.9,100,-0.52,-0.62,-0.42,0,52,48
openai_gpt56_sol,stronger,0.9,0.99,100,-0.24,-0.34,-0.15,2,26,72
openai_gpt56_sol,stronger,0.7,0.99,100,-0.76,-0.84,-0.68,0,76,24
anthropic_sonnet5,moderate,0.7,0.9,100,-0.11,-0.17,-0.05,0,11,89
anthropic_sonnet5,moderate,0.9,0.99,100,-0.2,-0.28,-0.12,0,20,80
anthropic_sonnet5,moderate,0.7,0.99,100,-0.31,-0.4,-0.22,0,31,69
anthropic_sonnet5,stronger,0.7,0.9,100,-0.11,-0.17,-0.05,0,11,89
anthropic_sonnet5,stronger,0.9,0.99,100,-0.15,-0.22,-0.08,0,15,85
anthropic_sonnet5,stronger,0.7,0.99,100,-0.26,-0.35,-0.18,0,26,74
