model_alias,model_label,score_condition,n_questions,verify_rate,ci_lo,ci_hi,saturation,floor,meets_floor
openai_gpt56_sol,GPT,hidden,500,0.396,0.354,0.44,identifiable,,
openai_gpt56_sol,GPT,true_q_visible,500,0.124,0.096,0.154,identifiable,,
openai_gpt56_sol,GPT,displayed_0.70,500,0.584,0.54,0.626,identifiable,,
openai_gpt56_sol,GPT,displayed_0.85,500,0.228,0.192,0.264,identifiable,,
openai_gpt56_sol,GPT,displayed_0.90,500,0.18,0.148,0.214,identifiable,,
openai_gpt56_sol,GPT,displayed_0.95,500,0.144,0.114,0.176,identifiable,,
openai_gpt56_sol,GPT,displayed_0.99,500,0.082,0.06,0.106,identifiable,,
openai_gpt56_sol,GPT,H1_0.70_minus_0.99,500,0.502,0.458,0.546,,0.2,True
anthropic_sonnet5,Claude,hidden,500,0.654,0.612,0.696,identifiable,,
anthropic_sonnet5,Claude,true_q_visible,500,0.794,0.758,0.828,identifiable,,
anthropic_sonnet5,Claude,displayed_0.70,500,0.924,0.9,0.946,identifiable,,
anthropic_sonnet5,Claude,displayed_0.85,500,0.8,0.764,0.834,identifiable,,
anthropic_sonnet5,Claude,displayed_0.90,500,0.776,0.74,0.812,identifiable,,
anthropic_sonnet5,Claude,displayed_0.95,500,0.646,0.604,0.688,identifiable,,
anthropic_sonnet5,Claude,displayed_0.99,500,0.57,0.526,0.614,identifiable,,
anthropic_sonnet5,Claude,H1_0.70_minus_0.99,500,0.354,0.312,0.396,,0.15,True
google_gemini38_flash,Gemini,hidden,200,0.105,0.065,0.15,identifiable,,
google_gemini38_flash,Gemini,true_q_visible,200,0.095,0.055,0.14,identifiable,,
google_gemini38_flash,Gemini,displayed_0.70,200,0.205,0.15,0.26,identifiable,,
google_gemini38_flash,Gemini,displayed_0.85,200,0.085,0.05,0.125,identifiable,,
google_gemini38_flash,Gemini,displayed_0.90,200,0.09,0.05,0.13,identifiable,,
google_gemini38_flash,Gemini,displayed_0.95,200,0.08,0.045,0.12,identifiable,,
google_gemini38_flash,Gemini,displayed_0.99,200,0.07,0.035,0.11,identifiable,,
google_gemini38_flash,Gemini,H1_0.70_minus_0.99,200,0.135,0.09,0.185,,,False
xai_grok420_nonreasoning,Grok,hidden,200,1.0,1.0,1.0,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,true_q_visible,200,0.985,0.965,1.0,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,displayed_0.70,200,1.0,1.0,1.0,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,displayed_0.85,200,0.995,0.985,1.0,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,displayed_0.90,200,0.99,0.975,1.0,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,displayed_0.95,200,0.975,0.95,0.995,ITEM_ROUTING_NOT_IDENTIFIABLE_DUE_TO_ACTION_SATURATION,,
xai_grok420_nonreasoning,Grok,displayed_0.99,200,0.905,0.865,0.945,identifiable,,
xai_grok420_nonreasoning,Grok,H1_0.70_minus_0.99,200,0.095,0.06,0.135,,,False
