example_id,subset,category,n_choices,question_char_len,source_index,dataset_name,split,dataset_revision,correct_label
mmlu_pro:test:93,secondary_200,business,10,245,23,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:158,secondary_200,business,10,111,87,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:165,secondary_200,business,10,183,94,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:209,secondary_200,business,10,192,138,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:219,secondary_200,business,10,101,148,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:336,secondary_200,business,10,105,264,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:338,secondary_200,business,10,176,266,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:348,secondary_200,business,10,266,276,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:463,secondary_200,business,10,349,389,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:483,secondary_200,business,10,135,409,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:594,secondary_200,business,10,117,519,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:702,secondary_200,business,10,715,625,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:706,secondary_200,business,10,151,629,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:716,secondary_200,business,10,100,639,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:734,secondary_200,business,10,364,657,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:933,secondary_200,law,10,906,856,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:1014,secondary_200,law,10,1384,935,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:1057,secondary_200,law,8,320,977,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:1080,secondary_200,law,9,563,1000,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:1084,secondary_200,law,10,1060,1004,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:1174,secondary_200,law,10,1704,1092,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:1416,secondary_200,law,10,1176,1328,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:1468,secondary_200,law,10,1190,1377,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:1535,secondary_200,law,10,590,1444,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:1645,secondary_200,law,8,772,1552,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:1679,secondary_200,law,10,925,1586,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:1803,secondary_200,law,10,1173,1708,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:1862,secondary_200,law,9,801,1767,mmlu_pro,test,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
