question_id,category,n_choices,question_char_len,question_ws_tokens,gpt_correct,gemini_correct,grok_correct,claude_correct,other_n_correct,other_frac_correct,other_frac_wrong,four_model_n_correct,four_model_frac_correct,choice_count_varies,n_choices_unique_values,choice_count_dropped,frozen_answer_is_option_letter,option_text_length_omitted,option_text_length_reason
mmlu_pro:test:7552,economics,10,257,50,0,1,1,1,2,0.6666666666666666,0.33333333333333337,3,0.75,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:1860,law,10,1740,316,1,1,0,1,2,0.6666666666666666,0.33333333333333337,3,0.75,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:8317,math,10,43,7,1,0,0,0,1,0.3333333333333333,0.6666666666666667,1,0.25,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:10119,physics,10,184,26,0,1,1,0,2,0.6666666666666666,0.33333333333333337,2,0.5,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:11106,philosophy,10,38,9,0,0,0,0,0,0.0,1.0,0,0.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:3955,chemistry,10,270,56,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:3333,biology,4,86,16,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:6790,health,10,964,145,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:3047,biology,10,271,48,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:115,business,10,221,46,1,1,0,1,2,0.6666666666666666,0.33333333333333337,3,0.75,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:2089,psychology,10,98,18,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:11038,philosophy,10,124,21,0,0,1,0,1,0.3333333333333333,0.6666666666666667,1,0.25,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:4773,history,10,1262,213,1,1,1,0,3,1.0,0.0,3,0.75,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:6662,health,10,37,6,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:4290,chemistry,10,205,34,0,0,0,0,0,0.0,1.0,0,0.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:10164,physics,10,205,37,1,1,0,0,2,0.6666666666666666,0.33333333333333337,2,0.5,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
mmlu_pro:test:11906,engineering,10,202,34,1,1,1,1,3,1.0,0.0,4,1.0,True,"[4, 7, 8, 9, 10]",False,True,True,Study-1 frozen answers are option letters; letter length is not meaningful
