model_alias,model_label,family,score_condition,displayed_confidence,n_questions,n_wrong,n_correct,n_verify,verify_rate,verify_rate_ci_lower,verify_rate_ci_upper,tpr,tpr_ci_lower,tpr_ci_upper,fpr,fpr_ci_lower,fpr_ci_upper,errors_caught,frac_errors_caught,frac_errors_caught_ci_lower,frac_errors_caught_ci_upper,saturation,sample_role,note
anthropic_sonnet5,Claude,moderate,displayed_0.70,0.7,100,27,73,90,0.9,0.84,0.95,1.0,1.0,1.0,0.863013698630137,0.7777777777777778,0.935064935064935,27,1.0,1.0,1.0,high_coverage_saturated,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,moderate,displayed_0.90,0.9,100,27,73,79,0.79,0.71,0.86,0.9259259259259259,0.8095238095238095,1.0,0.7397260273972602,0.6351351351351351,0.8375,25,0.9259259259259259,0.8095238095238095,1.0,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,moderate,displayed_0.99,0.99,100,27,73,59,0.59,0.49,0.68,0.8148148148148148,0.6521739130434783,0.9565217391304348,0.5068493150684932,0.39473684210526316,0.6216216216216216,22,0.8148148148148148,0.6521739130434783,0.9565217391304348,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,moderate,hidden,,100,27,73,65,0.65,0.56,0.74,0.8148148148148148,0.6666666666666666,0.9583333333333334,0.589041095890411,0.4782608695652174,0.7,22,0.8148148148148148,0.6666666666666666,0.9583333333333334,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,stronger,displayed_0.70,0.7,100,27,73,93,0.93,0.88,0.98,1.0,1.0,1.0,0.9041095890410958,0.8289473684210527,0.9701492537313433,27,1.0,1.0,1.0,high_coverage_saturated,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,stronger,displayed_0.90,0.9,100,27,73,82,0.82,0.74,0.89,0.9629629629629629,0.88,1.0,0.7671232876712328,0.6666666666666666,0.8607594936708861,26,0.9629629629629629,0.88,1.0,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,stronger,displayed_0.99,0.99,100,27,73,67,0.67,0.58,0.76,0.8518518518518519,0.7037037037037037,0.9666666666666667,0.6027397260273972,0.4868421052631579,0.7164179104477612,23,0.8518518518518519,0.7037037037037037,0.9666666666666667,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
anthropic_sonnet5,Claude,stronger,hidden,,100,27,73,71,0.71,0.62,0.8,0.8888888888888888,0.7586206896551724,1.0,0.6438356164383562,0.5333333333333333,0.75,24,0.8888888888888888,0.7586206896551724,1.0,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,moderate,displayed_0.70,0.7,100,19,81,59,0.59,0.49,0.69,0.7368421052631579,0.5263157894736842,0.9285714285714286,0.5555555555555556,0.4418604651162791,0.6629213483146067,14,0.7368421052631579,0.5263157894736842,0.9285714285714286,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,moderate,displayed_0.90,0.9,100,19,81,20,0.2,0.13,0.28,0.47368421052631576,0.23809523809523808,0.7142857142857143,0.13580246913580246,0.06578947368421052,0.21428571428571427,9,0.47368421052631576,0.23809523809523808,0.7142857142857143,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,moderate,displayed_0.99,0.99,100,19,81,7,0.07,0.02,0.12,0.21052631578947367,0.047619047619047616,0.4117647058823529,0.037037037037037035,0.0,0.08333333333333333,4,0.21052631578947367,0.047619047619047616,0.4117647058823529,low_coverage_saturated,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
