question_id,model_alias,model_endpoint,score_condition,displayed_confidence,parsed_action,verify,repeat_index,q1,stage1_correct,prompt_hash,request_key,estimated_cost_usd,input_tokens,output_tokens
2849,openai_gpt56_sol,gpt-5.6-sol,hidden,,USE_UNVERIFIED,0,0,0.99,1,b87ce6bf0ccae9b91d799129cbe3a8d18a8b5508ee17bdfe2eb36a63f4a48a4b,verification:78bbe23dcb15d5de2f1e73f24bf529929188f8b8ddf91f5e23d376cc67c79efa,0.003664,836,16
2849,openai_gpt56_sol,gpt-5.6-sol,true_q_visible,0.99,USE_UNVERIFIED,0,0,0.99,1,1421809d749015628c61092f82a280aa8a10dd2e3431218bc5f8bfd4aa2b5a83,verification:b4295d0f41cb6f3a7ceb05d9d6efa687508aae280e38175c39fba05c1e642596,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.70,0.7,USE_UNVERIFIED,0,0,0.99,1,c7b86be9c292b75486dd4c1c319872932ecc81385ae4e8f258d69615abdd3361,verification:c59c7048a7899be93550b97f203d0b031c5f24b4122e57d6cb80588a94b90946,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.85,0.85,USE_UNVERIFIED,0,0,0.99,1,de6c1827174aa8b0f98b17af6a70600a751d6eb061a31e682f0ecc686e2ce271,verification:ca73e24562422b99f48f1b04e0bdcf7c7c80dc43ac6a97cf87bce78374870b55,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.90,0.9,USE_UNVERIFIED,0,0,0.99,1,e29d49926458b97b41d84f8fd0e74156ad88343fb5d64c33bd6d9d953195726f,verification:b17435743e72556bc21a1a16e01adb4e7e64a57bbe2c7af02c066c266eba8753,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.95,0.95,USE_UNVERIFIED,0,0,0.99,1,2969aacb5569f3706836da671ca6c1fcb02d95a58c536ce71209e76feb30a12e,verification:4e3a93079613567cd2d1acdd9fcacbd58bdcbb45eb509aef77a49a20fd3cda06,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.99,0.99,USE_UNVERIFIED,0,0,0.99,1,1421809d749015628c61092f82a280aa8a10dd2e3431218bc5f8bfd4aa2b5a83,verification:a069529b84927ee74ee437ec9ba9b26a8d165b1816e8fb59073fa2cf0541db17,0.003752,858,16
2919,openai_gpt56_sol,gpt-5.6-sol,hidden,,USE_UNVERIFIED,0,0,0.99,1,2bd411ab51baeef88b5abb82a9cf019a8488a194733a16885d8ccdd29f78da40,verification:bbb925c15e42e4b1a0bfdf2dc44d322c8ccbfc4bfd29cc5a7c1971faefa2e63c,0.003356,759,16
2919,openai_gpt56_sol,gpt-5.6-sol,true_q_visible,0.99,USE_UNVERIFIED,0,0,0.99,1,b61d1eb7509093a0e11cf412fe4f92716be2bdd71f739a57b3f97e5fdeb6fcf0,verification:4c84f5b8fb9c38ca0a799cb5d036e5ae65250af679e4da5c2cb7ad17ab3e6201,0.003444,781,16
2919,openai_gpt56_sol,gpt-5.6-sol,displayed_0.70,0.7,VERIFY_FIRST,1,0,0.99,1,e0bf7b7caf211ba471b4fb22e4f52bd28ca42bd28a4fd1c99062346434249d02,verification:bd435c2a690d75bfbbf5d5f157e7cf231fb3d0cf3725ddb2dcfb1ffd6b642bc0,0.003404,781,14
