world,grid,n_conditions,conditions,stakes_families,n_primary_questions,primary_models,n_secondary_questions,secondary_models,stage1_primary,q1_primary,q2_primary,stage3_primary,stage1_secondary,q1_secondary,stage3_secondary,repeat_items,generations_per_cell,repeat_extra_stage3,total_scientific_calls,q2_included,fresh_stage1_and_q1,sample_frozen,note
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,3600,400,400,2400,100,3,2400,10400,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,3600,400,400,2400,150,3,3600,11600,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,6000,400,400,2400,100,3,2400,13600,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,6000,400,400,2400,150,3,3600,14800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,8400,400,400,2400,100,3,2400,16800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,8400,400,400,2400,150,3,3600,18000,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,4200,400,400,2800,100,3,2800,11800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,4200,400,400,2800,150,3,4200,13200,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,7000,400,400,2800,100,3,2800,15400,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,7000,400,400,2800,150,3,4200,16800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,9800,400,400,2800,100,3,2800,19000,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
I_invariance,P2,7,hidden true_q_visible 0.70 0.85 0.90 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,9800,400,400,2800,150,3,4200,20400,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,3600,400,400,2400,100,3,2400,10400,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,300,"GPT,Claude",200,"Gemini,Grok",600,600,0,3600,400,400,2400,150,3,3600,11600,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,6000,400,400,2400,100,3,2400,13600,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,500,"GPT,Claude",200,"Gemini,Grok",1000,1000,0,6000,400,400,2400,150,3,3600,14800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,8400,400,400,2400,100,3,2400,16800,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
R_reshaping,P1,6,hidden true_q_visible 0.70 0.85 0.95 0.99,1,700,"GPT,Claude",200,"Gemini,Grok",1400,1400,0,8400,400,400,2400,150,3,3600,18000,False,True,False,Counts only. Not launched. One stakes family. q2 omitted unless later retained. Repeats are extra generations on Stage-3 cells.
