decision_owner,difference_ci_lower,difference_ci_upper,difference_estimate,error_cost,model_id,n_questions,paraphrase_ci_lower,paraphrase_ci_upper,paraphrase_estimate,paraphrase_sign,primary_ci_lower,primary_ci_upper,primary_estimate,primary_sign,qualitative_sign_match,robustness_scope
ai_system,-0.09,0.05,-0.02,10.0,anthropic_sonnet5,100,0.13,0.28,0.2,positive,0.14,0.3,0.22,positive,True,post_primary_visible_extension
ai_system,-0.08,0.06,-0.01,2.0,anthropic_sonnet5,100,0.06,0.21,0.13,positive,0.08,0.21,0.14,positive,True,post_primary_visible_extension
ai_system,-0.08,0.06,-0.01,20.0,anthropic_sonnet5,100,0.12,0.27,0.19,positive,0.12,0.28,0.2,positive,True,post_primary_visible_extension
ai_system,-0.12,0.0,-0.06,5.0,anthropic_sonnet5,100,0.09,0.24,0.16,positive,0.14,0.3,0.22,positive,True,post_primary_visible_extension
human,-0.12,0.04,-0.04,10.0,anthropic_sonnet5,100,0.14,0.29,0.21,positive,0.17,0.34,0.25,positive,True,post_primary_visible_extension
human,-0.06,0.09,0.02,2.0,anthropic_sonnet5,100,0.05,0.19,0.12,positive,0.03,0.17,0.1,positive,True,post_primary_visible_extension
human,-0.11,0.03,-0.04,20.0,anthropic_sonnet5,100,0.13,0.29,0.21,positive,0.17,0.34,0.25,positive,True,post_primary_visible_extension
human,-0.18,-0.02,-0.1,5.0,anthropic_sonnet5,100,0.07,0.2,0.13,positive,0.15,0.32,0.23,positive,True,post_primary_visible_extension
ai_system,-0.09,0.0,-0.04,10.0,google_gemini38_flash,100,0.05,0.18,0.11,positive,0.08,0.22,0.15,positive,True,post_primary_visible_extension
ai_system,-0.05,0.03,-0.01,2.0,google_gemini38_flash,100,-0.1,0.02,-0.04,negative,-0.08,0.02,-0.03,negative,True,post_primary_visible_extension
ai_system,-0.03,0.09,0.03,20.0,google_gemini38_flash,100,0.1,0.25,0.17,positive,0.08,0.21,0.14,positive,True,post_primary_visible_extension
ai_system,-0.04,0.04,0.0,5.0,google_gemini38_flash,100,-0.08,0.02,-0.03,negative,-0.08,0.02,-0.03,negative,True,post_primary_visible_extension
human,-0.1,0.01,-0.04,10.0,google_gemini38_flash,100,0.07,0.2,0.13,positive,0.1,0.25,0.17,positive,True,post_primary_visible_extension
human,-0.08,-0.01,-0.04,2.0,google_gemini38_flash,100,-0.12,-0.01,-0.06,negative,-0.07,0.03,-0.02,negative,True,post_primary_visible_extension
human,-0.11,-0.02,-0.06,20.0,google_gemini38_flash,100,0.07,0.2,0.13,positive,0.11,0.27,0.19,positive,True,post_primary_visible_extension
human,-0.12,-0.01,-0.06,5.0,google_gemini38_flash,100,-0.07,0.05,-0.01,negative,-0.01,0.11,0.05,positive,False,post_primary_visible_extension
ai_system,-0.18,-0.02,-0.1,10.0,openai_gpt56_sol,100,-0.42,-0.22,-0.32,negative,-0.3,-0.14,-0.22,negative,True,post_primary_visible_extension
ai_system,-0.13,0.01,-0.06,2.0,openai_gpt56_sol,100,-0.39,-0.21,-0.3,negative,-0.33,-0.16,-0.24,negative,True,post_primary_visible_extension
ai_system,-0.26,-0.09,-0.17,20.0,openai_gpt56_sol,100,-0.4,-0.2,-0.3,negative,-0.22,-0.05,-0.13,negative,True,post_primary_visible_extension
ai_system,-0.21,-0.07,-0.14,5.0,openai_gpt56_sol,100,-0.41,-0.21,-0.31,negative,-0.25,-0.09,-0.17,negative,True,post_primary_visible_extension
human,-0.21,-0.05,-0.13,10.0,openai_gpt56_sol,100,-0.41,-0.22,-0.31,negative,-0.26,-0.1,-0.18,negative,True,post_primary_visible_extension
human,-0.18,-0.02,-0.1,2.0,openai_gpt56_sol,100,-0.39,-0.21,-0.3,negative,-0.28,-0.12,-0.2,negative,True,post_primary_visible_extension
human,-0.23,-0.03,-0.13,20.0,openai_gpt56_sol,100,-0.41,-0.2,-0.3,negative,-0.26,-0.09,-0.17,negative,True,post_primary_visible_extension
human,-0.23,-0.07,-0.15,5.0,openai_gpt56_sol,100,-0.42,-0.23,-0.32,negative,-0.25,-0.1,-0.17,negative,True,post_primary_visible_extension
ai_system,-0.01,0.17,0.08,10.0,xai_grok420_nonreasoning,100,-0.17,-0.04,-0.1,negative,-0.26,-0.1,-0.18,negative,True,post_primary_visible_extension
ai_system,-0.02,0.18,0.08,2.0,xai_grok420_nonreasoning,100,-0.18,-0.03,-0.1,negative,-0.26,-0.1,-0.18,negative,True,post_primary_visible_extension
ai_system,-0.12,0.07,-0.02,20.0,xai_grok420_nonreasoning,100,-0.18,-0.04,-0.11,negative,-0.16,-0.03,-0.09,negative,True,post_primary_visible_extension
ai_system,-0.07,0.07,0.0,5.0,xai_grok420_nonreasoning,100,-0.15,-0.03,-0.09,negative,-0.17,-0.01,-0.09,negative,True,post_primary_visible_extension
human,-0.07,0.08,0.01,10.0,xai_grok420_nonreasoning,100,-0.19,-0.05,-0.12,negative,-0.2,-0.06,-0.13,negative,True,post_primary_visible_extension
human,-0.02,0.15,0.06,2.0,xai_grok420_nonreasoning,100,-0.22,-0.07,-0.14,negative,-0.28,-0.12,-0.2,negative,True,post_primary_visible_extension
human,-0.09,0.06,-0.01,20.0,xai_grok420_nonreasoning,100,-0.19,-0.06,-0.12,negative,-0.18,-0.05,-0.11,negative,True,post_primary_visible_extension
human,-0.07,0.09,0.01,5.0,xai_grok420_nonreasoning,100,-0.21,-0.08,-0.14,negative,-0.23,-0.08,-0.15,negative,True,post_primary_visible_extension
