question_id,model_alias,frozen_answer,stage1_correct,correct_label,q1,answer_request_key,confidence_request_key,category,answer_raw,q1_raw
mmlu_pro:test:93,openai_gpt56_sol,H,1,H,0.99,answer:fd9d4a24617697a3d37b63e33f0703d5dd747d8dfc4edc4dc98758a2c8b1d6f5,confidence:51f5661cd3fd6a622baffa27dd951bb80c83f3b01d16346380fc83a2146fa4b5,business,"{""answer"":""H""}","{""probability_correct"":0.99}"
mmlu_pro:test:93,anthropic_sonnet5,H,1,H,0.75,answer:160ca67e6933c158d6f3db19dc7713e0e6c00f37944edba9d9648f076af14513,confidence:5a908301d733f392e61fcde6e7e5d0f58b38cad1996bd1cfac4cb55e71ad7d3f,business,"{""answer"":""H""}","{""probability_correct"":0.75}"
mmlu_pro:test:140,openai_gpt56_sol,D,1,D,0.99,answer:e53983b99229cfcf05fa1d95d05e54fa6f67ca3f139424e81d460ed70acdc06a,confidence:f331fee2d3c616a777e76833b3f9bbacfbb109d04cc111b9eff925df08d5997c,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:140,anthropic_sonnet5,D,1,D,0.85,answer:0d0ec8a2e9caefb3a32bc7c8ff6a004563dbca6d8dfa7a811e248c2860be0cef,confidence:cdfba933236766a0bb004c397444072c3a2b3395cf9bbb21a674b45926d68518,business,"{""answer"":""D""}","{""probability_correct"":0.85}"
mmlu_pro:test:151,openai_gpt56_sol,E,1,E,0.99,answer:6a29200c22c7d9064cd2e368ba198597b0c3265b4f0b6aea531a9753eef09fb6,confidence:6989aeb75186d04ab51c8519120a2374ba1e5e23222dc70ed479df05f370f971,business,"{""answer"":""E""}","{""probability_correct"":0.99}"
mmlu_pro:test:151,anthropic_sonnet5,E,1,E,0.72,answer:a62a4edf4df8838460dfb01d69b56e31c180bb06c6fc0f664fa8e435af4545f0,confidence:c9dd2cdb40aff03e4337a31359056efe96b6c33a43fa4075f32d6eb0aa2defe4,business,"{""answer"":""E""}","{""probability_correct"":0.72}"
mmlu_pro:test:158,openai_gpt56_sol,E,1,E,0.99,answer:fe3668175527639d3ba7442c15607b917515fd12557934a22bf633b515e35e53,confidence:da1f9cd3d07424d2672871cf29df183b96a4d430f724fc65b24c3cfcceb7b8b3,business,"{""answer"":""E""}","{""probability_correct"":0.99}"
mmlu_pro:test:158,anthropic_sonnet5,E,1,E,0.9,answer:dd983a39fa2a8de9ff833851bd250dde0942355d1635883ced880221483622be,confidence:a4945e701960ba2c488c9d4d2be97456ace072830c82644893d5d682d466a3f0,business,"{""answer"":""E""}","{""probability_correct"":0.9}"
mmlu_pro:test:164,openai_gpt56_sol,B,1,B,0.99,answer:450b5509ed17b19ef809dca0acc8628033aed02556ee3b8ef2d33851053dfd2a,confidence:0a611dbc41c256265b0a5d20fd02c20f0cb97bb437b92379f17b7628134ccebc,business,"{""answer"":""B""}","{""probability_correct"":0.99}"
mmlu_pro:test:164,anthropic_sonnet5,C,0,B,0.6,answer:36f5478535bb81fbd81e65269347226975966922c680a9d9e965fcfd8c72b283,confidence:13102e59cebc74ab7895e7a4cb21622f74276fa028969e2919d6df91672b436a,business,"{""answer"":""C""}","{""probability_correct"":0.6}"
mmlu_pro:test:165,openai_gpt56_sol,D,1,D,0.99,answer:9996e062e4f599c696da49853963dda50f8de2461cddd4c341f3209899abd1d1,confidence:6aea7f609d1944474a68664d1b6ecf616e0538604964ab03bb3d086824af044e,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:165,anthropic_sonnet5,D,1,D,0.55,answer:47b8f9f5619a9e12c7ccf8c1b56c845f06d03677d622756f07e90904c4ebeed5,confidence:8874ac8654d985877e202eb3e5f000029f9d2720880483bffaf289e142934e79,business,"{""answer"":""D""}","{""probability_correct"":0.55}"
mmlu_pro:test:175,openai_gpt56_sol,J,1,J,0.99,answer:68fd5c37e0458be6ec210ab4ddee28e7c2c5ae877805dc34084cf6a69f0f7b4f,confidence:492b2836f913f39e2e1f28a0dda015ac05afaf3184efed07aadf9184fc7ceb4a,business,"{""answer"":""J""}","{""probability_correct"":0.99}"
mmlu_pro:test:175,anthropic_sonnet5,A,0,J,0.72,answer:ed94245992effd2149712e62704f4830207e1f0054de9ade2b1384f40296e221,confidence:3652700e4ff595cc41919f6d55b4bf2e2bcc5f09b14f7df31defef75f08b2195,business,"{""answer"":""A""}","{""probability_correct"":0.72}"
mmlu_pro:test:209,openai_gpt56_sol,F,1,F,0.999,answer:b500c57036ad0fabed4aa4c0dc6c245cc20fbb9b19c55dada4f8b53a9ff870ec,confidence:40852c3497a79ea67e872b236e4bc85b8a57a46ced06d288780546511c3cda4f,business,"{""answer"":""F""}","{""probability_correct"":0.999}"
mmlu_pro:test:209,anthropic_sonnet5,F,1,F,0.9,answer:5f4fc8c914fe6d15decb13dfc5b2357a9b06bb17244ae66273656e35114ef420,confidence:1818ab9c5fcda058c77347149b04cfca8dfc48f40ee1babbf6df3d2f93c0a0ed,business,"{""answer"":""F""}","{""probability_correct"":0.9}"
mmlu_pro:test:219,openai_gpt56_sol,I,1,I,0.99,answer:6c82f8fe18d288db582ca097f488844e3b90017c11f6a3f54548cf5f095ff965,confidence:a7d33da07e0b3db0c1be13b3fa43c98b60928d65708b61cabefeefd44bfe596d,business,"{""answer"":""I""}","{""probability_correct"":0.99}"
