model_id,model_label,scope,n_questions,n_wrong,n_cells_averaged,mean_hidden_verify_budget,mean_hidden_error_catch_rate,mean_conf_error_catch_rate,mean_catch_diff,catch_diff_ci_lower,catch_diff_ci_upper,n_cells_with_ci_excluding_zero,n_cells_positive_diff,n_cells_negative_diff,accuracy,brier_correctness,auroc_correctness,auroc_wrong_using_one_minus_q,auprc_wrong_using_one_minus_q,mean_q_correct,mean_q_wrong
anthropic_sonnet5,Claude Sonnet 5,model_pooled_over_owner_and_L,500,129,8,0.56225,0.8827519379844961,0.7863537553460034,0.0963981826384927,0.03243538572833684,0.16032233268286425,8,8,0,0.742,0.1632818,0.7366743977099396,0.7366743977099396,0.5002632371388804,0.774312668463612,0.6165891472868217
anthropic_sonnet5,Claude Sonnet 5,authority_ai_system,500,129,4,0.5765,0.8895348837209303,0.7980553038692573,0.09147957985167285,0.0320885848953011,0.15453032128553373,4,4,0,0.742,,,,,,
anthropic_sonnet5,Claude Sonnet 5,authority_human,500,129,4,0.548,0.875968992248062,0.7746522068227494,0.10131678542531256,0.038543468900827306,0.16794529991568505,4,4,0,0.742,,,,,,
google_gemini38_flash,Gemini 3.8 Flash,model_pooled_over_owner_and_L,500,60,8,0.08324999999999999,0.3875,0.3597916666666666,0.02770833333333335,-0.03408883469344177,0.09594923201761513,1,5,2,0.88,0.083429604,0.8667613636363635,0.8667613636363637,0.4657960057681217,0.9444272727272728,0.7281666666666666
google_gemini38_flash,Gemini 3.8 Flash,authority_ai_system,500,60,4,0.0885,0.3916666666666667,0.37124999999999997,0.020416666666666694,-0.04187907723063974,0.08441649542139196,0,3,1,0.88,,,,,,
google_gemini38_flash,Gemini 3.8 Flash,authority_human,500,60,4,0.078,0.3833333333333333,0.34833333333333333,0.035,-0.026744782933713396,0.10808141201556364,1,2,1,0.88,,,,,,
openai_gpt56_sol,GPT-5.6 Sol,model_pooled_over_owner_and_L,500,87,8,0.31025,0.610632183908046,0.5392297357814599,0.07140244812658604,-0.023531263760277737,0.16420077441247713,1,8,0,0.826,0.15789709802,0.6835323258467619,0.6835323258467619,0.2993242732853737,0.9455523002421308,0.8564367816091951
openai_gpt56_sol,GPT-5.6 Sol,authority_ai_system,500,87,4,0.313,0.6235632183908045,0.542200328407225,0.08136288998357963,-0.013235533901991971,0.17862913924225457,1,4,0,0.826,,,,,,
openai_gpt56_sol,GPT-5.6 Sol,authority_human,500,87,4,0.3075,0.5977011494252873,0.5362591431556949,0.06144200626959245,-0.038287005120451065,0.16626758023632443,0,4,0,0.826,,,,,,
xai_grok420_nonreasoning,Grok 4.20,model_pooled_over_owner_and_L,500,178,8,0.96175,0.9936797752808988,1.0,-0.006320224719101139,-0.011243463724133847,-0.0022058823529411686,1,0,5,0.644,0.1911628,0.7439371205248099,0.7439371205248098,0.5684152778549351,0.707888198757764,0.5378651685393259
xai_grok420_nonreasoning,Grok 4.20,authority_ai_system,500,178,4,0.954,0.9887640449438202,1.0,-0.011235955056179803,-0.020115447343895622,-0.003164059390175938,1,0,4,0.644,,,,,,
xai_grok420_nonreasoning,Grok 4.20,authority_human,500,178,4,0.9694999999999999,0.9985955056179775,1.0,-0.0014044943820224753,-0.004838709677419367,0.0,0,0,1,0.644,,,,,,
