question_id,model_alias,model_label,L,displayed_values,actions,n_transitions,reverse_use_to_verify,perfectly_non_increasing,single_threshold_shape,pattern,stage1_correct
mmlu_pro:test:10119,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10119,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10119,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:10119,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:10164,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10164,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10164,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10164,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10332,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""USE_UNVERIFIED"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",2,True,False,False,UVUUU,True
mmlu_pro:test:10332,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",0,False,True,True,UUUUU,True
mmlu_pro:test:10332,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10332,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10406,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",0,False,True,True,UUUUU,True
mmlu_pro:test:10406,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",0,False,True,True,UUUUU,True
mmlu_pro:test:10406,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10406,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10486,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10486,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10486,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10486,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10497,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10497,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10497,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10497,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10539,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",0,False,True,True,UUUUU,True
mmlu_pro:test:10539,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""USE_UNVERIFIED"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",2,True,False,False,UVUUU,True
mmlu_pro:test:10539,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10539,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",3,True,False,False,VUVUU,True
mmlu_pro:test:10556,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:10556,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10556,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10556,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:1065,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:1065,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:1065,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:1065,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10659,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10659,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""VERIFY_FIRST""]",2,True,False,False,VVVUV,True
mmlu_pro:test:10659,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10659,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10667,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:10667,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:10667,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10667,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10709,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10709,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:10709,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:10709,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10831,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVUUU,True
mmlu_pro:test:10831,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VUUUU,True
mmlu_pro:test:10831,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10831,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10842,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
