question_id,model_alias,model_endpoint,score_condition,displayed_confidence,parsed_action,verify,repeat_index,q1,stage1_correct,prompt_hash,request_key,estimated_cost_usd,input_tokens,output_tokens
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.70,0.7,USE_UNVERIFIED,0,1,0.99,1,c7b86be9c292b75486dd4c1c319872932ecc81385ae4e8f258d69615abdd3361,verification:2c0b53e287d12d7ccffa03309e896e7dc3efec63fc4d51dd81b16aeb8ac79163,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.85,0.85,USE_UNVERIFIED,0,1,0.99,1,de6c1827174aa8b0f98b17af6a70600a751d6eb061a31e682f0ecc686e2ce271,verification:c46404d803948417f97309318788e439bcc879e14d14aa9b2af266a4381d8f7f,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.90,0.9,USE_UNVERIFIED,0,1,0.99,1,e29d49926458b97b41d84f8fd0e74156ad88343fb5d64c33bd6d9d953195726f,verification:d15dd33406ca334be1c6d5a86fed9bbf0de77484f0ed6874be6749fb259177df,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.95,0.95,USE_UNVERIFIED,0,1,0.99,1,2969aacb5569f3706836da671ca6c1fcb02d95a58c536ce71209e76feb30a12e,verification:3b893f90f04d259d7bfb76cdb6327655b086f2509b03c3bb205a98ae1d766574,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.99,0.99,USE_UNVERIFIED,0,1,0.99,1,1421809d749015628c61092f82a280aa8a10dd2e3431218bc5f8bfd4aa2b5a83,verification:07f2a3fbff925cb7be68edf4094d0f770640101a4fe17998b5640b58b712b00c,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.70,0.7,VERIFY_FIRST,1,2,0.99,1,c7b86be9c292b75486dd4c1c319872932ecc81385ae4e8f258d69615abdd3361,verification:62086817405a3543ab00925c6b37bf79d37196b7df35d199862652d258704d54,0.003712,858,14
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.85,0.85,USE_UNVERIFIED,0,2,0.99,1,de6c1827174aa8b0f98b17af6a70600a751d6eb061a31e682f0ecc686e2ce271,verification:172a684641adeebf9e978e7ba7289e22541c208dc839345c2cd823efdff56ca9,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.90,0.9,USE_UNVERIFIED,0,2,0.99,1,e29d49926458b97b41d84f8fd0e74156ad88343fb5d64c33bd6d9d953195726f,verification:83fc7ebce7192ace0ef32f3e8e3c07d75a31880afe1cd0b36c557a6f0a762271,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.95,0.95,USE_UNVERIFIED,0,2,0.99,1,2969aacb5569f3706836da671ca6c1fcb02d95a58c536ce71209e76feb30a12e,verification:fff338545daaa1abd87875418cb0a85a3a7181af75a22f937a09d255f63e64f2,0.003752,858,16
2849,openai_gpt56_sol,gpt-5.6-sol,displayed_0.99,0.99,USE_UNVERIFIED,0,2,0.99,1,1421809d749015628c61092f82a280aa8a10dd2e3431218bc5f8bfd4aa2b5a83,verification:75e4b6e710538152d444faef171fc5665e2224c5fb9639a257fcc4e1036fd336,0.003752,858,16
