task,question_id,model_alias,delta,q1,q_delta,rendered_q_delta,incorrect,reuse_delta0,prompt_sha256
mmlu,mmlu_pro:test:93,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,b700bb005c57eaaf35491ee8488b855ca326776d0ec8729723de1d57549db6ee
mmlu,mmlu_pro:test:93,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,b18fb16324ffe0d48414fd45944dadd9fdb0cc245e7b673c456c1ff77dbb9fc8
mmlu,mmlu_pro:test:93,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,c7dd2094c7bcad3da7fa74c423d5da8db04e1e1bdb4f46fc5852824b43161d69
mmlu,mmlu_pro:test:93,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,6f289417394c2bdef10682d1a14ce1207c59cf4d7e70ac52496050e63b6fc74d
mmlu,mmlu_pro:test:93,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,a2605b1613bdca82614c723a2e70c62cda46a6f59b7cf7793090d8036a054ffc
mmlu,mmlu_pro:test:93,anthropic_sonnet5,-1.5,0.75,0.40097897303615737,0.400978973036,False,False,f3e690fcf705e0d1809820888594daf98f04a847ce1bd375edff13f0e4b435ac
mmlu,mmlu_pro:test:93,anthropic_sonnet5,-0.75,0.75,0.5862810221341224,0.586281022134,False,False,b01e472727d882e4caf84efafd964c2927eb2b76a59315f08d43fa97691c8a2a
mmlu,mmlu_pro:test:93,anthropic_sonnet5,0.0,0.75,0.75,0.75,False,True,65806744814771813d2dd5dd9a6ee9109a6dfae78b9777962ce94e673c84fa48
mmlu,mmlu_pro:test:93,anthropic_sonnet5,0.75,0.75,0.863964087441132,0.863964087441,False,False,1f5facda56f58b026fc4ba9bcadf54f93548235b1630d95244ef93d51b93727e
mmlu,mmlu_pro:test:93,anthropic_sonnet5,1.5,0.75,0.9307722154980691,0.930772215498,False,False,e9c6086c3b024e95deddc3eb275d7f385e44309e2e6a2746986ada2950817302
mmlu,mmlu_pro:test:140,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,33b9ae1b6ca6b98222f9e1d9080ad247687143d6b1beecb6fe77f654657dbf63
mmlu,mmlu_pro:test:140,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,853578d34994efba8abdf62ba344696ae5dde8593caa49d8e29ff063ac18fdb4
mmlu,mmlu_pro:test:140,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,705a5e9cc5967068ff8e65244cfe332488f94f4e515bac2ac4b1c2e04de97645
mmlu,mmlu_pro:test:140,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,4bcd8bb0c5cffabb3a8fc3e9416b387d7db01017ea7df7091f08ea63a2bd1a41
mmlu,mmlu_pro:test:140,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,79e8ad0e2544c2752fe1bbab12b81ae7c892bfc5b3855450a75010a0c0808869
mmlu,mmlu_pro:test:140,anthropic_sonnet5,-1.5,0.85,0.5583827383980898,0.558382738398,False,False,81fcc3a8b53fc85e8c1403b9a0e9a1048a21398d579d17f38da2423b20bbc4d6
mmlu,mmlu_pro:test:140,anthropic_sonnet5,-0.75,0.85,0.7280202117132848,0.728020211713,False,False,6149cab3cd1910b266a64783ffc2faa11851d3105abdc0a2d79594c2f70b4319
mmlu,mmlu_pro:test:140,anthropic_sonnet5,0.0,0.85,0.85,0.85,False,True,91b3bfe3e0a92bfa344ee730b0990361bdfdc4d1967009132330a528e03b6c84
