question_id,category,n_choices,question_char_len,gpt_correct,claude_correct,gemini_correct,grok_correct,target_model,other_models,other_n_correct,difficulty_bin
mmlu_pro:test:10119,physics,10,184,0,0,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10119,physics,10,184,0,0,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10164,physics,10,205,1,0,1,0,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,hard_0to1
mmlu_pro:test:10164,physics,10,205,1,0,1,0,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10332,physics,10,113,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10332,physics,10,113,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10406,computer science,10,82,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10406,computer science,10,82,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10486,computer science,10,203,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10486,computer science,10,203,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10497,computer science,10,336,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10497,computer science,10,336,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10539,computer science,10,548,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10539,computer science,10,548,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10556,computer science,10,175,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10556,computer science,10,175,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:1065,law,10,862,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:1065,law,10,862,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10659,computer science,10,501,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10659,computer science,10,501,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10667,computer science,4,271,1,1,1,0,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10667,computer science,4,271,1,1,1,0,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10709,computer science,10,113,1,0,1,0,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,hard_0to1
mmlu_pro:test:10709,computer science,10,113,1,0,1,0,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",2,medium_2
mmlu_pro:test:10831,philosophy,4,59,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10831,philosophy,4,59,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10842,philosophy,10,44,1,1,1,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:10842,philosophy,10,44,1,1,1,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",3,easy_3
mmlu_pro:test:11038,philosophy,10,124,0,0,0,1,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,hard_0to1
mmlu_pro:test:11038,philosophy,10,124,0,0,0,1,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,hard_0to1
mmlu_pro:test:11106,philosophy,10,38,0,0,0,0,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",0,hard_0to1
mmlu_pro:test:11106,philosophy,10,38,0,0,0,0,anthropic_sonnet5,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,hard_0to1
mmlu_pro:test:11138,philosophy,10,61,0,0,1,0,openai_gpt56_sol,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,hard_0to1
