L,displayed_confidence,action,n,mean_other_n_correct,median_other_n_correct,mean_other_frac_wrong,mean_question_char_len,median_question_char_len,n_error,error_rate,category_counts,verify_minus_use_mean_other_n_correct,verify_minus_use_mean_other_n_correct_ci_lower,verify_minus_use_mean_other_n_correct_ci_upper,verify_minus_use_mean_char_len,verify_minus_use_mean_char_len_ci_lower,verify_minus_use_mean_char_len_ci_upper
10.0,0.8,VERIFY,86,2.302325581395349,3.0,0.23255813953488372,284.1744186046512,175.5,26,0.3023255813953488,"{""biology"": 6, ""business"": 9, ""chemistry"": 7, ""computer science"": 6, ""economics"": 4, ""engineering"": 7, ""health"": 8, ""history"": 6, ""law"": 8, ""math"": 4, ""other"": 3, ""philosophy"": 6, ""physics"": 5, ""psychology"": 7}",-0.5548172757475083,-0.8539325842696628,-0.17568947906026544,163.53156146179404,60.709803921568636,257.7885597548519
10.0,0.8,USE,14,2.857142857142857,3.0,0.04761904761904762,120.64285714285714,69.5,1,0.07142857142857142,"{""biology"": 3, ""chemistry"": 1, ""computer science"": 2, ""economics"": 2, ""health"": 3, ""other"": 1, ""philosophy"": 1, ""physics"": 1}",-0.5548172757475083,-0.8539325842696628,-0.17568947906026544,163.53156146179404,60.709803921568636,257.7885597548519
10.0,0.88,VERIFY,80,2.3125,3.0,0.22916666666666669,295.1625,181.0,24,0.3,"{""biology"": 5, ""business"": 8, ""chemistry"": 7, ""computer science"": 6, ""economics"": 3, ""engineering"": 7, ""health"": 6, ""history"": 6, ""law"": 7, ""math"": 4, ""other"": 3, ""philosophy"": 6, ""physics"": 6, ""psychology"": 6}",-0.3374999999999999,-0.7342430149447696,0.12478825522303794,169.41250000000002,75.38708110733364,262.742518351214
10.0,0.88,USE,20,2.65,3.0,0.11666666666666667,125.75,76.5,3,0.15,"{""biology"": 4, ""business"": 1, ""chemistry"": 1, ""computer science"": 2, ""economics"": 3, ""health"": 5, ""law"": 1, ""other"": 1, ""philosophy"": 1, ""psychology"": 1}",-0.3374999999999999,-0.7342430149447696,0.12478825522303794,169.41250000000002,75.38708110733364,262.742518351214
10.0,0.89,VERIFY,79,2.278481012658228,3.0,0.24050632911392406,294.3164556962025,178.0,25,0.31645569620253167,"{""biology"": 5, ""business"": 8, ""chemistry"": 7, ""computer science"": 6, ""economics"": 4, ""engineering"": 7, ""health"": 6, ""history"": 6, ""law"": 7, ""math"": 4, ""other"": 3, ""philosophy"": 5, ""physics"": 5, ""psychology"": 6}",-0.48342374924653386,-0.835294117647059,-0.060975609756097615,157.31645569620252,64.51591942820014,251.56578947368422
10.0,0.89,USE,21,2.761904761904762,3.0,0.07936507936507937,137.0,82.0,2,0.09523809523809523,"{""biology"": 4, ""business"": 1, ""chemistry"": 1, ""computer science"": 2, ""economics"": 2, ""health"": 5, ""law"": 1, ""other"": 1, ""philosophy"": 2, ""physics"": 1, ""psychology"": 1}",-0.48342374924653386,-0.835294117647059,-0.060975609756097615,157.31645569620252,64.51591942820014,251.56578947368422
10.0,0.91,VERIFY,72,2.263888888888889,3.0,0.24537037037037038,309.9166666666667,202.5,23,0.3194444444444444,"{""biology"": 3, ""business"": 8, ""chemistry"": 7, ""computer science"": 6, ""economics"": 3, ""engineering"": 7, ""health"": 5, ""history"": 6, ""law"": 7, ""math"": 4, ""other"": 2, ""philosophy"": 4, ""physics"": 5, ""psychology"": 5}",-0.41468253968253954,-0.7749999999999999,-0.020102851799906674,173.70238095238096,82.35405536668284,267.6470588235294
10.0,0.91,USE,28,2.6785714285714284,3.0,0.10714285714285714,136.21428571428572,84.5,4,0.14285714285714285,"{""biology"": 6, ""business"": 1, ""chemistry"": 1, ""computer science"": 2, ""economics"": 3, ""health"": 6, ""law"": 1, ""other"": 2, ""philosophy"": 3, ""physics"": 1, ""psychology"": 2}",-0.41468253968253954,-0.7749999999999999,-0.020102851799906674,173.70238095238096,82.35405536668284,267.6470588235294
10.0,0.99,VERIFY,50,2.08,2.0,0.3066666666666667,346.84,205.5,22,0.44,"{""biology"": 2, ""business"": 7, ""chemistry"": 6, ""computer science"": 4, ""economics"": 1, ""engineering"": 7, ""health"": 2, ""history"": 4, ""law"": 5, ""math"": 4, ""other"": 1, ""philosophy"": 2, ""physics"": 4, ""psychology"": 1}",-0.6000000000000001,-0.9484702093397746,-0.25442834138486337,171.11999999999998,61.59303721488598,290.2430213464696
10.0,0.99,USE,50,2.68,3.0,0.10666666666666667,175.72,96.5,5,0.1,"{""biology"": 7, ""business"": 2, ""chemistry"": 2, ""computer science"": 4, ""economics"": 5, ""health"": 9, ""history"": 2, ""law"": 3, ""other"": 3, ""philosophy"": 5, ""physics"": 2, ""psychology"": 6}",-0.6000000000000001,-0.9484702093397746,-0.25442834138486337,171.11999999999998,61.59303721488598,290.2430213464696
