model_alias,family,score_condition,difficulty_bin,n,verify_rate,mean_other_n_correct_verify,mean_other_n_correct_use,auroc_difficulty_for_verify,auroc_ci_lower,auroc_ci_upper,hard_minus_easy_verify,hard_minus_easy_ci_lower,hard_minus_easy_ci_upper,n_verify,n_use
google_gemini38_flash,moderate,hidden,hard_0to1,8,0.375,1.0,2.0625,0.7109375,0.3157894736842105,0.953125,0.275,-0.125,0.6666666666666666,4,16
google_gemini38_flash,moderate,hidden,medium_2,2,0.0,1.0,2.0625,0.7109375,0.3157894736842105,0.953125,0.275,-0.125,0.6666666666666666,4,16
google_gemini38_flash,moderate,hidden,easy_3,10,0.1,1.0,2.0625,0.7109375,0.3157894736842105,0.953125,0.275,-0.125,0.6666666666666666,4,16
google_gemini38_flash,moderate,displayed_0.70,hard_0to1,8,0.25,1.5,1.9375,0.578125,0.19444444444444442,0.9444444444444444,0.04999999999999999,-0.3392857142857143,0.45454545454545453,4,16
google_gemini38_flash,moderate,displayed_0.70,medium_2,2,0.0,1.5,1.9375,0.578125,0.19444444444444442,0.9444444444444444,0.04999999999999999,-0.3392857142857143,0.45454545454545453,4,16
google_gemini38_flash,moderate,displayed_0.70,easy_3,10,0.2,1.5,1.9375,0.578125,0.19444444444444442,0.9444444444444444,0.04999999999999999,-0.3392857142857143,0.45454545454545453,4,16
google_gemini38_flash,moderate,displayed_0.90,hard_0to1,8,0.25,0.0,2.0555555555555554,0.9166666666666667,0.8235294117647058,1.0,0.25,0.0,0.6,2,18
google_gemini38_flash,moderate,displayed_0.90,medium_2,2,0.0,0.0,2.0555555555555554,0.9166666666666667,0.8235294117647058,1.0,0.25,0.0,0.6,2,18
google_gemini38_flash,moderate,displayed_0.90,easy_3,10,0.0,0.0,2.0555555555555554,0.9166666666666667,0.8235294117647058,1.0,0.25,0.0,0.6,2,18
google_gemini38_flash,moderate,displayed_0.99,hard_0to1,8,0.25,0.5,2.0,0.8055555555555556,0.5789473684210527,0.9533333333333334,0.25,0.0,0.6,2,18
google_gemini38_flash,moderate,displayed_0.99,medium_2,2,0.0,0.5,2.0,0.8055555555555556,0.5789473684210527,0.9533333333333334,0.25,0.0,0.6,2,18
google_gemini38_flash,moderate,displayed_0.99,easy_3,10,0.0,0.5,2.0,0.8055555555555556,0.5789473684210527,0.9533333333333334,0.25,0.0,0.6,2,18
google_gemini38_flash,stronger,hidden,hard_0to1,8,0.375,1.0,2.0625,0.7109375,0.3125,0.9509803921568627,0.275,-0.13636363636363635,0.6730769230769231,4,16
google_gemini38_flash,stronger,hidden,medium_2,2,0.0,1.0,2.0625,0.7109375,0.3125,0.9509803921568627,0.275,-0.13636363636363635,0.6730769230769231,4,16
google_gemini38_flash,stronger,hidden,easy_3,10,0.1,1.0,2.0625,0.7109375,0.3125,0.9509803921568627,0.275,-0.13636363636363635,0.6730769230769231,4,16
google_gemini38_flash,stronger,displayed_0.70,hard_0to1,8,0.625,1.8461538461538463,1.8571428571428572,0.4945054945054946,0.23809523809523808,0.734375,-0.07499999999999996,-0.5476190476190477,0.3714285714285715,13,7
google_gemini38_flash,stronger,displayed_0.70,medium_2,2,0.5,1.8461538461538463,1.8571428571428572,0.4945054945054946,0.23809523809523808,0.734375,-0.07499999999999996,-0.5476190476190477,0.3714285714285715,13,7
google_gemini38_flash,stronger,displayed_0.70,easy_3,10,0.7,1.8461538461538463,1.8571428571428572,0.4945054945054946,0.23809523809523808,0.734375,-0.07499999999999996,-0.5476190476190477,0.3714285714285715,13,7
google_gemini38_flash,stronger,displayed_0.90,hard_0to1,8,0.125,0.0,1.9473684210526316,0.8947368421052633,0.7894736842105263,0.9736842105263158,0.125,0.0,0.4,1,19
google_gemini38_flash,stronger,displayed_0.90,medium_2,2,0.0,0.0,1.9473684210526316,0.8947368421052633,0.7894736842105263,0.9736842105263158,0.125,0.0,0.4,1,19
google_gemini38_flash,stronger,displayed_0.90,easy_3,10,0.0,0.0,1.9473684210526316,0.8947368421052633,0.7894736842105263,0.9736842105263158,0.125,0.0,0.4,1,19
google_gemini38_flash,stronger,displayed_0.99,hard_0to1,8,0.375,1.4,2.0,0.6133333333333334,0.2647058823529412,0.9166666666666667,0.175,-0.2698412698412699,0.6025641025641026,5,15
google_gemini38_flash,stronger,displayed_0.99,medium_2,2,0.0,1.4,2.0,0.6133333333333334,0.2647058823529412,0.9166666666666667,0.175,-0.2698412698412699,0.6025641025641026,5,15
google_gemini38_flash,stronger,displayed_0.99,easy_3,10,0.2,1.4,2.0,0.6133333333333334,0.2647058823529412,0.9166666666666667,0.175,-0.2698412698412699,0.6025641025641026,5,15
xai_grok420_nonreasoning,moderate,hidden,hard_0to1,6,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,hidden,medium_2,4,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,hidden,easy_3,10,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,displayed_0.70,hard_0to1,6,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,displayed_0.70,medium_2,4,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,displayed_0.70,easy_3,10,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,moderate,displayed_0.90,hard_0to1,6,1.0,2.0,3.0,0.763157894736842,0.6578947368421053,0.868421052631579,0.09999999999999998,0.0,0.33333333333333337,19,1
xai_grok420_nonreasoning,moderate,displayed_0.90,medium_2,4,1.0,2.0,3.0,0.763157894736842,0.6578947368421053,0.868421052631579,0.09999999999999998,0.0,0.33333333333333337,19,1
xai_grok420_nonreasoning,moderate,displayed_0.90,easy_3,10,0.9,2.0,3.0,0.763157894736842,0.6578947368421053,0.868421052631579,0.09999999999999998,0.0,0.33333333333333337,19,1
xai_grok420_nonreasoning,moderate,displayed_0.99,hard_0to1,6,1.0,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
xai_grok420_nonreasoning,moderate,displayed_0.99,medium_2,4,1.0,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
xai_grok420_nonreasoning,moderate,displayed_0.99,easy_3,10,0.8,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
xai_grok420_nonreasoning,stronger,hidden,hard_0to1,6,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,hidden,medium_2,4,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,hidden,easy_3,10,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.70,hard_0to1,6,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.70,medium_2,4,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.70,easy_3,10,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.90,hard_0to1,6,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.90,medium_2,4,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.90,easy_3,10,1.0,2.05,nan,nan,nan,nan,0.0,0.0,0.0,20,0
xai_grok420_nonreasoning,stronger,displayed_0.99,hard_0to1,6,1.0,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
xai_grok420_nonreasoning,stronger,displayed_0.99,medium_2,4,1.0,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
xai_grok420_nonreasoning,stronger,displayed_0.99,easy_3,10,0.8,1.9444444444444444,3.0,0.7777777777777778,0.6578947368421053,0.8888888888888888,0.19999999999999996,0.0,0.5,18,2
