question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,parsed_action,verify,raw_response,input_tokens,output_tokens,estimated_cost_usd,prompt_hash,request_key
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",473,14,0.002172,a16187eb61bbd7d93c14a8b202fcebce7d3cecad6937ab13d75fd8d65c82f5e0,verification:6c1b279758e65558d72f42485c26631deb958e3b09d41f5ffbe4667e80c5c32a
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",490,14,0.00224,c4dacc8cdfef0c315d01140604bad71c73d6ef74c8fb135a5ca4a8abe9e131b2,verification:a2aee09258cfac014d21d34abe7ae4e35112b528bbe07fa581e4fd911361ec9a
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,C,True,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",490,16,0.00228,b0b500cc6740d3b4184ecbe5d684753ef866bb661f0caaefc6103fae4558edf1,verification:686d982ea03bf159fc9391a86e90a159d42f1798ebd96d134153267ed87f1bb8
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,C,True,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",490,16,0.00228,46da3c28f124edade84c9e6d370b6b06b9994c413f18e0cbe0006d665de4c24b,verification:1350f9728c51de36dd8b0ee74a68c8a2d6deef52311cfd0cfde936bd165b55cb
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",474,14,0.002176,e81dec6b2a9c73e700461814cdb42ed24ea936d8c59d0715d2416a980199f911,verification:eb6290e774493ac97f10815799fdc5056603a94626e0e5cdadfa90a1be4a786e
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",491,14,0.002244,41b250cdc4527b12c47ddc3a772234302afb711c9666032e55d92fcaf3784a8e,verification:bd29350510ac32f44fa804f20bab7617b382eefd4ec380c67b696ad117273301
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,C,True,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",491,16,0.002284,3d918f2f3669d491f95de80c7463d0594ba8690cca96ac0149535f091d794427,verification:af6207f784f0ec13729a97eef90d3bea748bd42845c86697d155b5a729008529
mmlu_pro:test:1731,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.99,0.99,0.99,C,True,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",491,16,0.002284,32dbd7a4d932fe654a99791c98ad6d1ad14927b9dc18911c8580425586528c88,verification:bd562c77f3c69874a97b9246eedef515be2458c5559d3331c81f11291d169412
mmlu_pro:test:1731,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",932,18,0.002044,bfc3ea1193d8404a7fc8fa1300365a6df5916a77cb42274a1395168d1b6dad14,verification:b63ad0921725b0c809c4934372b5c1098660541c3558c95aee1afc0a2811eedd
mmlu_pro:test:1731,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,I,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",960,18,0.0021,29ae66d32568677067a8b47bbe20f8546d235294966c25978273dbf1f5968b25,verification:fac31bc114784c0f95f6b03efd8b60bad63078816b7822164ceeb5d0adc74453
