question_id,model_alias,stage1_correct,error,q1,q2,hidden_verify_fraction,hidden_verify_count,n_hidden_cells,single_hidden_verify,canonical_hidden_spec,category,n_choices,question_char_len,question_ws_tokens,other_n_correct,other_frac_correct,other_frac_wrong,other_models,target_correct,gpt_correct,claude_correct,gemini_correct,grok_correct,choice_count_varies
mmlu_pro:test:79,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,148,31,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:79,anthropic_sonnet5,True,0,0.9,0.85,0.0,0,8,0,ai_system|L=10|hidden,business,10,148,31,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:81,openai_gpt56_sol,False,1,0.99,0.99,0.5,4,8,1,ai_system|L=10|hidden,business,10,123,17,0,0.0,1.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,0,True
mmlu_pro:test:81,anthropic_sonnet5,False,1,0.55,0.6,0.0,0,8,0,ai_system|L=10|hidden,business,10,123,17,0,0.0,1.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,0,True
mmlu_pro:test:115,openai_gpt56_sol,True,0,0.98,0.98,0.0,0,8,0,ai_system|L=10|hidden,business,10,221,46,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:115,anthropic_sonnet5,True,0,0.35,0.3,1.0,8,8,1,ai_system|L=10|hidden,business,10,221,46,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:129,openai_gpt56_sol,False,1,0.84,0.82,0.25,2,8,1,ai_system|L=10|hidden,business,10,324,51,0,0.0,1.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,0,True
mmlu_pro:test:129,anthropic_sonnet5,False,1,0.55,0.5,0.0,0,8,0,ai_system|L=10|hidden,business,10,324,51,0,0.0,1.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,0,True
mmlu_pro:test:136,openai_gpt56_sol,True,0,0.99,0.99,0.125,1,8,0,ai_system|L=10|hidden,business,10,255,45,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:136,anthropic_sonnet5,True,0,0.85,0.75,0.875,7,8,1,ai_system|L=10|hidden,business,10,255,45,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:162,openai_gpt56_sol,True,0,0.99,0.99,0.25,2,8,1,ai_system|L=10|hidden,business,10,470,77,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:162,anthropic_sonnet5,True,0,0.6,0.72,1.0,8,8,1,ai_system|L=10|hidden,business,10,470,77,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:178,openai_gpt56_sol,True,0,0.02,0.98,0.875,7,8,1,ai_system|L=10|hidden,business,10,342,65,1,0.3333333333333333,0.6666666666666667,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,0,1,0,True
mmlu_pro:test:178,anthropic_sonnet5,False,1,0.65,0.6,1.0,8,8,1,ai_system|L=10|hidden,business,10,342,65,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,1,0,1,0,True
mmlu_pro:test:186,openai_gpt56_sol,True,0,0.99,0.99,0.125,1,8,0,ai_system|L=10|hidden,business,10,83,16,1,0.3333333333333333,0.6666666666666667,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,0,1,0,True
mmlu_pro:test:186,anthropic_sonnet5,False,1,0.6,0.85,1.0,8,8,1,ai_system|L=10|hidden,business,10,83,16,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,1,0,1,0,True
mmlu_pro:test:253,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,422,72,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:253,anthropic_sonnet5,True,0,0.6,0.6,1.0,8,8,1,ai_system|L=10|hidden,business,10,422,72,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:261,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,291,44,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:261,anthropic_sonnet5,True,0,0.72,0.72,1.0,8,8,1,ai_system|L=10|hidden,business,10,291,44,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:316,openai_gpt56_sol,True,0,0.88,0.86,0.75,6,8,1,ai_system|L=10|hidden,business,10,96,14,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:316,anthropic_sonnet5,True,0,0.55,0.4,1.0,8,8,1,ai_system|L=10|hidden,business,10,96,14,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:365,openai_gpt56_sol,True,0,0.99,0.97,0.0,0,8,0,ai_system|L=10|hidden,business,10,74,11,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:365,anthropic_sonnet5,True,0,0.6,0.6,0.0,0,8,0,ai_system|L=10|hidden,business,10,74,11,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:391,openai_gpt56_sol,True,0,0.999,0.999,0.0,0,8,0,ai_system|L=10|hidden,business,10,130,23,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:391,anthropic_sonnet5,True,0,0.97,0.95,0.125,1,8,0,ai_system|L=10|hidden,business,10,130,23,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:393,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,164,28,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:393,anthropic_sonnet5,True,0,0.95,0.97,0.0,0,8,0,ai_system|L=10|hidden,business,10,164,28,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:413,openai_gpt56_sol,True,0,0.98,0.98,0.875,7,8,1,ai_system|L=10|hidden,business,10,167,31,1,0.3333333333333333,0.6666666666666667,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,0,1,0,True
mmlu_pro:test:413,anthropic_sonnet5,False,1,0.72,0.72,1.0,8,8,1,ai_system|L=10|hidden,business,10,167,31,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,1,0,1,0,True
mmlu_pro:test:429,openai_gpt56_sol,True,0,0.99,0.99,0.25,2,8,1,ai_system|L=10|hidden,business,9,134,27,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:429,anthropic_sonnet5,True,0,0.85,0.8,1.0,8,8,1,ai_system|L=10|hidden,business,9,134,27,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:448,openai_gpt56_sol,True,0,0.99,0.99,0.75,6,8,1,ai_system|L=10|hidden,business,10,151,26,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:448,anthropic_sonnet5,True,0,0.9,0.9,1.0,8,8,1,ai_system|L=10|hidden,business,10,151,26,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:462,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,39,7,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:462,anthropic_sonnet5,True,0,0.72,0.7,1.0,8,8,1,ai_system|L=10|hidden,business,10,39,7,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:465,openai_gpt56_sol,False,1,0.98,0.97,0.75,6,8,1,ai_system|L=10|hidden,business,10,523,85,1,0.3333333333333333,0.6666666666666667,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,1,True
mmlu_pro:test:465,anthropic_sonnet5,False,1,0.4,0.35,1.0,8,8,1,ai_system|L=10|hidden,business,10,523,85,1,0.3333333333333333,0.6666666666666667,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,0,0,0,1,True
mmlu_pro:test:471,openai_gpt56_sol,True,0,0.99,0.98,0.75,6,8,1,ai_system|L=10|hidden,business,10,286,48,1,0.3333333333333333,0.6666666666666667,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,0,1,0,True
mmlu_pro:test:471,anthropic_sonnet5,False,1,0.72,0.7,0.875,7,8,1,ai_system|L=10|hidden,business,10,286,48,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,1,0,1,0,True
mmlu_pro:test:492,openai_gpt56_sol,True,0,0.99,0.99,0.75,6,8,1,ai_system|L=10|hidden,business,10,308,46,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,0,1,1,True
mmlu_pro:test:492,anthropic_sonnet5,False,1,0.85,0.85,1.0,8,8,1,ai_system|L=10|hidden,business,10,308,46,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",0,1,0,1,1,True
mmlu_pro:test:494,openai_gpt56_sol,True,0,0.99,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,117,22,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:494,anthropic_sonnet5,True,0,0.72,0.7,1.0,8,8,1,ai_system|L=10|hidden,business,10,117,22,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:521,openai_gpt56_sol,True,0,0.99,0.99,0.75,6,8,1,ai_system|L=10|hidden,business,10,238,43,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:521,anthropic_sonnet5,True,0,0.8,0.7,1.0,8,8,1,ai_system|L=10|hidden,business,10,238,43,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:529,openai_gpt56_sol,True,0,0.999,0.99,0.0,0,8,0,ai_system|L=10|hidden,business,10,110,21,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:529,anthropic_sonnet5,True,0,0.97,0.97,0.5,4,8,1,ai_system|L=10|hidden,business,10,110,21,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:595,openai_gpt56_sol,True,0,0.99,0.99,0.125,1,8,0,ai_system|L=10|hidden,business,10,492,94,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:595,anthropic_sonnet5,True,0,0.85,0.85,0.75,6,8,1,ai_system|L=10|hidden,business,10,492,94,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:623,openai_gpt56_sol,True,0,0.97,0.97,0.25,2,8,1,ai_system|L=10|hidden,business,10,204,27,3,1.0,0.0,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:623,anthropic_sonnet5,True,0,0.75,0.85,0.0,0,8,0,ai_system|L=10|hidden,business,10,204,27,3,1.0,0.0,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,1,True
mmlu_pro:test:652,openai_gpt56_sol,True,0,0.99,0.97,0.5,4,8,0,ai_system|L=10|hidden,business,10,317,60,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:652,anthropic_sonnet5,True,0,0.72,0.7,1.0,8,8,1,ai_system|L=10|hidden,business,10,317,60,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:655,openai_gpt56_sol,True,0,0.99,0.98,1.0,8,8,1,ai_system|L=10|hidden,business,10,269,52,2,0.6666666666666666,0.33333333333333337,"anthropic_sonnet5,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
mmlu_pro:test:655,anthropic_sonnet5,True,0,0.35,0.35,1.0,8,8,1,ai_system|L=10|hidden,business,10,269,52,2,0.6666666666666666,0.33333333333333337,"openai_gpt56_sol,google_gemini38_flash,xai_grok420_nonreasoning",1,1,1,1,0,True
