model_alias,family,from_score,to_score,n_questions,mean_delta_verify,ci_lower,ci_upper,n_increased,n_decreased,n_unchanged
google_gemini38_flash,moderate,0.7,0.9,20,-0.1,-0.25,0.0,0,2,18
google_gemini38_flash,moderate,0.9,0.99,20,0.0,-0.15,0.15,1,1,18
google_gemini38_flash,moderate,0.7,0.99,20,-0.1,-0.3,0.1,1,3,16
google_gemini38_flash,stronger,0.7,0.9,20,-0.6,-0.8,-0.4,0,12,8
google_gemini38_flash,stronger,0.9,0.99,20,0.2,0.05,0.4,4,0,16
google_gemini38_flash,stronger,0.7,0.99,20,-0.4,-0.6,-0.2,0,8,12
xai_grok420_nonreasoning,moderate,0.7,0.9,20,-0.05,-0.15,0.0,0,1,19
xai_grok420_nonreasoning,moderate,0.9,0.99,20,-0.05,-0.15,0.0,0,1,19
xai_grok420_nonreasoning,moderate,0.7,0.99,20,-0.1,-0.25,0.0,0,2,18
xai_grok420_nonreasoning,stronger,0.7,0.9,20,0.0,0.0,0.0,0,0,20
xai_grok420_nonreasoning,stronger,0.9,0.99,20,-0.1,-0.25,0.0,0,2,18
xai_grok420_nonreasoning,stronger,0.7,0.99,20,-0.1,-0.25,0.0,0,2,18
