question_id,model_alias,model_endpoint,returned_model_id,provider,L,C,display_condition,reported_confidence,displayed_confidence,frozen_answer,stage1_correct,prompt_hash,request_key,attempt_number,raw_response,parsed_action,parse_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,api_timestamp,reused_from_task_002,ok,repeat_index,phase
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,hidden,0.78,,I,False,1fc68537ccfe7cfbf8147831cba19ffc06fa4c3c0c544e4a20e7a7e9a2efb5e5,verification:b7c90140cd6bd892147af961bdbb70f77c85b1ea70b1412471c59274179441ae,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,2986.4206250058487,338,14,0.001632,2026-09-17T06:19:53.328796+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,true_confidence_visible,0.78,0.78,I,False,6379e7655f0031147fe134685bb6e30cdf89918b09e11ddbfa18d3f0db111c2b,verification:9ed4cd0df9b1e8fad4c6245bddf76e94cb52a961e691bc5eb953fe1cb11b6b79,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,1955.9770000050776,355,14,0.0017,2026-09-17T06:19:55.289674+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,manipulated_1,0.78,0.8,I,False,1b5907dbb53b6a3b0289fd4cd559103904506f1fac9ddb9c80de023625d77e53,verification:1a116125684460f4c1e694e54f84ddecb4a263ee178715dad8b6be36d3b5f42b,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,2336.5136660286225,355,14,0.0017,2026-09-17T06:36:13.720230+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,manipulated_2,0.78,0.88,I,False,a1e0ff9e8e4f9882e9b837e553f6171f1f25da330178cfb927aea415e7fa4b97,verification:e108b4f41ca2fc13ad211d37d86a5bd9a092ca4e4bfedb43e138958ffb79be8c,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,1657.1782089886256,355,14,0.0017,2026-09-17T06:36:13.714691+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,manipulated_3,0.78,0.89,I,False,cd0f38d3d124b39d98152c8ab33e5bdc23243c02508d5dd887e4be073e4e0849,verification:1199492038523d92a0e0cc7303b45d5904fc31ed69df54edea17b49e90a1afcf,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,969.1927499952726,355,14,0.0017,2026-09-17T06:19:56.265845+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,manipulated_4,0.78,0.91,I,False,4e88ad02e192e46fb67adc7a345ab8fb8ed4c9f21c299afc1a6ddbfd7f4e8202,verification:d4d39e5f38319d58dbdf4bfa7c3555040f6e95f24bec089d9efb6479a857f45f,1,"{""action"":""USE_UNVERIFIED""}",USE_UNVERIFIED,success,1349.08766602166,355,16,0.00174,2026-09-17T06:19:57.622107+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,10.0,1.0,manipulated_5,0.78,0.99,I,False,3c467e9d413d0bab2425968d6336ee28228f54ecad63e2a8ebedd79d0b8a5df3,verification:c77dce94fb15885a1c1e7c60f66d643e809aa651e675bf746667ca2438fc8de9,1,"{""action"":""USE_UNVERIFIED""}",USE_UNVERIFIED,success,2421.497375005856,355,16,0.00174,2026-09-17T06:36:14.483684+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,20.0,1.0,hidden,0.78,,I,False,3814d2ac04fe40f974c7ee2ca390318d7e0aac5e3141bb6928eb05ed697d3c7b,verification:2d90e7f5ea8b0abd90a63c6f195a4dbff28051b93032ee1ffe834979b53e4a92,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,2428.440416988451,338,14,0.001632,2026-09-17T06:36:14.493302+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,20.0,1.0,true_confidence_visible,0.78,0.78,I,False,04618cbd35382dd28f782ce77bff06e41e76645d3dcc3089ebe0460aec6fab73,verification:501d885dc3775fe87436e509ad59528e44f04090235bea14bea172ade3bcddb3,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,1433.9748329948634,355,14,0.0017,2026-09-17T06:36:15.152756+00:00,True,True,0,primary
mmlu_pro:test:7552,openai_gpt56_sol,gpt-5.6-sol,gpt-5.6-sol,openai,20.0,1.0,manipulated_1,0.78,0.9,I,False,4d88c2e7e7b8932a75ce1945afdde585ff23e4fc86a41d6e1eaf462bddb609ca,verification:e9621c453cac66b7e37727da6d3f6a63d320d7e2bcb5a524ea32c11985e00c14,1,"{""action"":""VERIFY_FIRST""}",VERIFY_FIRST,success,1050.7551250047982,355,14,0.0017,2026-09-17T06:36:14.775063+00:00,True,True,0,primary
