model_alias,family,from_score,to_score,n_questions,mean_delta_verify,ci_lower,ci_upper,n_increased,n_decreased,n_unchanged,frac_weakly_decreasing_0.70_0.90_0.99,note
openai_gpt56_sol,moderate,0.7,0.9,20,-0.5,-0.7,-0.3,0,10,10,1.0,pilot question-bootstrap CI; n=20
openai_gpt56_sol,moderate,0.9,0.99,20,-0.15,-0.3,0.0,0,3,17,1.0,pilot question-bootstrap CI; n=20
openai_gpt56_sol,moderate,0.7,0.99,20,-0.65,-0.85,-0.45,0,13,7,1.0,pilot question-bootstrap CI; n=20
openai_gpt56_sol,stronger,0.7,0.9,20,-0.6,-0.8,-0.4,0,12,8,0.95,pilot question-bootstrap CI; n=20
openai_gpt56_sol,stronger,0.9,0.99,20,-0.15,-0.35,0.05,1,4,15,0.95,pilot question-bootstrap CI; n=20
openai_gpt56_sol,stronger,0.7,0.99,20,-0.75,-0.95,-0.55,0,15,5,0.95,pilot question-bootstrap CI; n=20
anthropic_sonnet5,moderate,0.7,0.9,20,-0.2,-0.4,-0.05,0,4,16,1.0,pilot question-bootstrap CI; n=20
anthropic_sonnet5,moderate,0.9,0.99,20,-0.1,-0.25,0.0,0,2,18,1.0,pilot question-bootstrap CI; n=20
anthropic_sonnet5,moderate,0.7,0.99,20,-0.3,-0.5,-0.1,0,6,14,1.0,pilot question-bootstrap CI; n=20
anthropic_sonnet5,stronger,0.7,0.9,20,-0.2,-0.4,-0.05,0,4,16,1.0,pilot question-bootstrap CI; n=20
anthropic_sonnet5,stronger,0.9,0.99,20,-0.1,-0.25,0.0,0,2,18,1.0,pilot question-bootstrap CI; n=20
anthropic_sonnet5,stronger,0.7,0.99,20,-0.3,-0.5,-0.1,0,6,14,1.0,pilot question-bootstrap CI; n=20
