question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,reported_confidence,parsed_action,verify,repeat_index,roster,prompt_hash,request_key,estimated_cost_usd,raw_response
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,7f370e997637725c0dc2fbc396a60615ba7b1f5187fc0d8bf7b7022492d0205b,verification:3dc7473e95eef257cbba0eda3506fe1bd4990238ad21d0ce76cc1a288fd79900,0.00146,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:918046bfcead9e6c0c4ffa003c9c884d5c56e8ef2ebe52c3796ad6a47514980a,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,E,True,0.99,VERIFY_FIRST,1,1,repeat_extra,3d056e6472cb1fb98e72eb9cb3a5fe24b5bff8c062a22e52942f38c58803fc9e,verification:fee875a3c5424e0025f9bc53dcc91ca3a26357ebd29da0ad1cae104a7099eff8,0.001488,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,3606563598922b34917769cbf2f6dda6d24812175be1d26a795ac2a495e90387,verification:b63d76d901a49cc3d405f9f4f1a7db4359a6b03ea28ac7953c698483a39dd807,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,28bdaf44e7b2e568a6eedb7de86039c3a18129e269b444568f86f78bb1ce9ab4,verification:9dec27c3351814669cfbc99a3a7cf06d044dd91940ccc779a62ee5f951498e9f,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,41e18886d34467c9a123178b8cf7375381d4bddbfb0cb38707602f1b75f8bdbf,verification:0cc4adf69df55fdbe06ccfbe281bd2ba9f3414d974a8c4d6f6a0c2a89b42a5ea,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,1,repeat_extra,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:daf76e39178748a09bf4fb7c166e7c4e6cb74b30bd534a481907b6c50c46ef65,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,E,True,0.99,USE_UNVERIFIED,0,2,repeat_extra,7f370e997637725c0dc2fbc396a60615ba7b1f5187fc0d8bf7b7022492d0205b,verification:3db2c7d9bb932fca5c124e348d681e342538bed8c9fc74c8cb716126312e28d8,0.00146,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,2,repeat_extra,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:5968a4715c5042b69a0901ffe7360c5cfcb3cd21a591363f65536c10796400b7,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,E,True,0.99,VERIFY_FIRST,1,2,repeat_extra,3d056e6472cb1fb98e72eb9cb3a5fe24b5bff8c062a22e52942f38c58803fc9e,verification:24cd41cff5c2bccd16684e77b881a252f88eed1fba4351df9510cf897ac69c01,0.001488,"{""action"":""VERIFY_FIRST""}"
