ci_lower,ci_upper,error_cost,estimate,model_id,n_questions,n_valid_resamples,prompt_family
-0.01,0.09,10.0,0.04,anthropic_sonnet5,200,5000,v2_owner_match_v1
-0.020100502512562814,0.08040201005025127,2.0,0.03015075376884422,anthropic_sonnet5,199,5000,v2_owner_match_v1
-0.04,0.04,20.0,0.0,anthropic_sonnet5,200,5000,v2_owner_match_v1
-0.045,0.045,5.0,0.0,anthropic_sonnet5,200,5000,v2_owner_match_v1
-0.005,0.05,10.0,0.02,google_gemini38_flash,200,5000,v2_owner_match_v1
-0.02,0.03,2.0,0.005,google_gemini38_flash,200,5000,v2_owner_match_v1
-0.02,0.05,20.0,0.015,google_gemini38_flash,200,5000,v2_owner_match_v1
-0.07,0.005,5.0,-0.03,google_gemini38_flash,200,5000,v2_owner_match_v1
-0.015,0.09,10.0,0.035,openai_gpt56_sol,200,5000,v2_owner_match_v1
-0.07,0.0,2.0,-0.035,openai_gpt56_sol,200,5000,v2_owner_match_v1
-0.04,0.07,20.0,0.015,openai_gpt56_sol,200,5000,v2_owner_match_v1
-0.035,0.065,5.0,0.015,openai_gpt56_sol,200,5000,v2_owner_match_v1
-0.075,0.035,10.0,-0.02,xai_grok420_nonreasoning,200,5000,v2_owner_match_v1
-0.035,0.095,2.0,0.03,xai_grok420_nonreasoning,200,5000,v2_owner_match_v1
-0.045,0.08,20.0,0.015,xai_grok420_nonreasoning,200,5000,v2_owner_match_v1
-0.03,0.1,5.0,0.035,xai_grok420_nonreasoning,200,5000,v2_owner_match_v1
