question_id,model_alias,model_endpoint,frozen_answer,stage1_correct,q1,q2,q2_minus_q1,hidden_verify_fraction,hidden_verify_count,n_hidden_cells,parse_status,raw_response,returned_model_id,input_tokens,output_tokens,estimated_cost_usd,prompt_hash,request_key,endpoint,inference_settings,timestamp
mmlu_pro:test:79,openai_gpt56_sol,gpt-5.6-sol,F,True,0.99,0.99,0.0,0.0,0,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,203,17,0.001152,23e5baccee609500f4d83fa02d3f7195f8e58ed79b317dd47e30683abe6a1ab2,confidence:49aabec39dd60e1e43074b6432821eb4458435c9a2987aacaf315c3cfee866e9,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:27.835574+00:00
mmlu_pro:test:79,anthropic_sonnet5,claude-sonnet-5,F,True,0.9,0.85,-0.050000000000000044,0.0,0,8,success,"{""probability_correct"":0.85}",claude-sonnet-5,454,13,0.001038,23e5baccee609500f4d83fa02d3f7195f8e58ed79b317dd47e30683abe6a1ab2,confidence:6cf6b7c3581c8950a11f30f6498ccb17c7be2bbfa55b794972357b476b115119,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:27.788564+00:00
mmlu_pro:test:81,openai_gpt56_sol,gpt-5.6-sol,C,False,0.99,0.99,0.0,0.5,4,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,175,17,0.00104,21b5db9fde7a9224bd8e47eac4170ef83fc2584790f71ecc40a9bf98bf7cdd0c,confidence:163c2962e5f1835b0b5c9abe40cde31b9fe2a66a03a1e7d68d10a8a27156ffe4,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:28.120419+00:00
mmlu_pro:test:81,anthropic_sonnet5,claude-sonnet-5,C,False,0.55,0.6,0.04999999999999993,0.0,0,8,success,"{""probability_correct"":0.6}",claude-sonnet-5,442,13,0.001014,21b5db9fde7a9224bd8e47eac4170ef83fc2584790f71ecc40a9bf98bf7cdd0c,confidence:fa90ee77ac5b5652095bc6f69e63e43f9bc1adc372a524d579922397d1ffc061,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:27.955296+00:00
mmlu_pro:test:115,openai_gpt56_sol,gpt-5.6-sol,J,True,0.98,0.98,0.0,0.0,0,8,success,"{""probability_correct"":0.98}",gpt-5.6-sol,202,17,0.001148,d48c96d14dfc0ead90f8c3794b53aad71f8474a3e5102f14a682410cfa1ae398,confidence:a9103a1f3231cac3c1bd5c48e1205cd4a018080907656a1ad232883267e4bb75,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:29.404654+00:00
mmlu_pro:test:115,anthropic_sonnet5,claude-sonnet-5,J,True,0.35,0.3,-0.04999999999999999,1.0,8,8,success,"{""probability_correct"":0.3}",claude-sonnet-5,438,13,0.001006,d48c96d14dfc0ead90f8c3794b53aad71f8474a3e5102f14a682410cfa1ae398,confidence:3b76dd15ce269074db59a8fe93ce5cd18496d472ff37db53dc22eeb37aff65d2,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:29.685554+00:00
mmlu_pro:test:129,openai_gpt56_sol,gpt-5.6-sol,D,False,0.84,0.82,-0.020000000000000018,0.25,2,8,success,"{""probability_correct"":0.82}",gpt-5.6-sol,219,17,0.001216,f2b45eaf80550b65775833c88dfdab13cba208392ea2e6ec0e195f46dcd3c4ec,confidence:555dd89b82606c51269e27a9155865518a7ed7816417005f9e02bca3b6c1bf6f,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:29.751575+00:00
mmlu_pro:test:129,anthropic_sonnet5,claude-sonnet-5,D,False,0.55,0.5,-0.050000000000000044,0.0,0,8,success,"{""probability_correct"":0.5}",claude-sonnet-5,493,13,0.001116,f2b45eaf80550b65775833c88dfdab13cba208392ea2e6ec0e195f46dcd3c4ec,confidence:dd0e9a565162fbbe793e8ef9239ec5f3d776629450474c4a9b00165545de135b,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:29.256017+00:00
mmlu_pro:test:136,openai_gpt56_sol,gpt-5.6-sol,H,True,0.99,0.99,0.0,0.125,1,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,235,17,0.00128,530ac2a1b653876c4801464d58bec1bf41b3e4c0d909f60657519bdec0898221,confidence:9910427c4418183f6fdefc8961fedaf18ff016f02b38265c21f9468ae3be420f,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:30.363370+00:00
mmlu_pro:test:136,anthropic_sonnet5,claude-sonnet-5,H,True,0.85,0.75,-0.09999999999999998,0.875,7,8,success,"{""probability_correct"":0.75}",claude-sonnet-5,479,13,0.001088,530ac2a1b653876c4801464d58bec1bf41b3e4c0d909f60657519bdec0898221,confidence:2fc536792980bb0e3e5cf885f90b6b6a2125cb1974dc71bbb0c5e2f73c669b93,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:30.682696+00:00
mmlu_pro:test:162,openai_gpt56_sol,gpt-5.6-sol,G,True,0.99,0.99,0.0,0.25,2,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,306,17,0.001564,e6bca4cb7450e3ff781e3d67fb6dc915a0bceea9cef2ea2bad6d7b1731ae15d4,confidence:075527646bce4219c6d9634315ae08801a394bcf15b51ec4f0b3b25de13d58ca,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:31.308083+00:00
mmlu_pro:test:162,anthropic_sonnet5,claude-sonnet-5,G,True,0.6,0.72,0.12,1.0,8,8,success,"{""probability_correct"":0.72}",claude-sonnet-5,567,13,0.001264,e6bca4cb7450e3ff781e3d67fb6dc915a0bceea9cef2ea2bad6d7b1731ae15d4,confidence:f4b1eea01dfedc599fd4803c4810e34efdeaa4d47c98cb391214b8f7b9530af1,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:31.650935+00:00
mmlu_pro:test:178,openai_gpt56_sol,gpt-5.6-sol,C,True,0.02,0.98,0.96,0.875,7,8,success,"{""probability_correct"":0.98}",gpt-5.6-sol,254,17,0.001356,ba3c314532dc122c567d7fdd274f702aedb345de2ca3ad399984b175141189f1,confidence:e8c9257c1045e18641d0ad4e1a3eea8efd9fb65f263bcf02270f5214b808f416,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:31.681413+00:00
mmlu_pro:test:178,anthropic_sonnet5,claude-sonnet-5,G,False,0.65,0.6,-0.050000000000000044,1.0,8,8,success,"{""probability_correct"":0.6}",claude-sonnet-5,504,13,0.001138,53c629df0a7d2061cf66f34a3964188976e43b30fe0ea0ff280e679f0946a519,confidence:aabbdb8bda546a04b59a98f79e31be8415653fb796797643992ee6151f67981f,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:32.745983+00:00
mmlu_pro:test:186,openai_gpt56_sol,gpt-5.6-sol,D,True,0.99,0.99,0.0,0.125,1,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,195,17,0.00112,b1c7fc8de3d0839afd92a8fba66aa3d4f096309167c2ec3531c07f7683c78d17,confidence:638f7de36fd5ca20e2023885bc9d0bf3cd470929a3ff10ec2bc0d3b37962dafe,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:32.289706+00:00
mmlu_pro:test:186,anthropic_sonnet5,claude-sonnet-5,G,False,0.6,0.85,0.25,1.0,8,8,success,"{""probability_correct"":0.85}",claude-sonnet-5,412,13,0.000954,94a585169f1568cfdc1576c37c5afb882944ec016450af5dd7ac673a8a43cef7,confidence:01a7d0f8b8af807ec8998422df7466131098c4fe3e98a50268d7d455886ef844,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:33.165294+00:00
mmlu_pro:test:253,openai_gpt56_sol,gpt-5.6-sol,J,True,0.99,0.99,0.0,0.0,0,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,633,17,0.002872,fc56cb737de00e47854cf0816b5b245180288c8d8327dc4549a0ab09919bc8b9,confidence:88f7f9476ecd1fbf2dc590642253c522e5cd169aaa56a265aca2f1966edea04c,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:32.771607+00:00
mmlu_pro:test:253,anthropic_sonnet5,claude-sonnet-5,J,True,0.6,0.6,0.0,1.0,8,8,success,"{""probability_correct"":0.6}",claude-sonnet-5,991,13,0.002112,fc56cb737de00e47854cf0816b5b245180288c8d8327dc4549a0ab09919bc8b9,confidence:ddaf29717d4c14eb4d2147d466144b259f1592ddeca8abb08cfc8c0f6ad4ce38,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:33.569411+00:00
mmlu_pro:test:261,openai_gpt56_sol,gpt-5.6-sol,J,True,0.99,0.99,0.0,0.0,0,8,success,"{""probability_correct"":0.99}",gpt-5.6-sol,353,17,0.001752,549cc40eb0ab682e03651d4d7c5577342291bdccc2b72c8ffbaaeb3c2fef9336,confidence:8b18f1a820512792beb7227d048a82d5853908f432a587ee55347ffea3054c0e,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:34.437598+00:00
mmlu_pro:test:261,anthropic_sonnet5,claude-sonnet-5,J,True,0.72,0.72,0.0,1.0,8,8,success,"{""probability_correct"":0.72}",claude-sonnet-5,720,13,0.00157,549cc40eb0ab682e03651d4d7c5577342291bdccc2b72c8ffbaaeb3c2fef9336,confidence:938a4c4a3c5bf55a4c95d9fff8c9820bc644374e10645feeb0ff424f72ef743b,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:34.567559+00:00
mmlu_pro:test:316,openai_gpt56_sol,gpt-5.6-sol,H,True,0.88,0.86,-0.020000000000000018,0.75,6,8,success,"{""probability_correct"":0.86}",gpt-5.6-sol,163,17,0.000992,dd16c0929e75a72d8718a197d5f075fa8fe6b7ead8706b5ead00eaedeb18de54,confidence:e1847cf45032268efc63e9824c5bad5a68da66081eb1aa2712c3d02f1924bb66,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:35.266022+00:00
mmlu_pro:test:316,anthropic_sonnet5,claude-sonnet-5,H,True,0.55,0.4,-0.15000000000000002,1.0,8,8,success,"{""probability_correct"":0.4}",claude-sonnet-5,411,13,0.000952,dd16c0929e75a72d8718a197d5f075fa8fe6b7ead8706b5ead00eaedeb18de54,confidence:908424ea0f1dc69e5e1d428b763387a15c596ca7105c48751c2babc0692e6aca,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:34.852675+00:00
mmlu_pro:test:365,openai_gpt56_sol,gpt-5.6-sol,H,True,0.99,0.97,-0.020000000000000018,0.0,0,8,success,"{""probability_correct"":0.97}",gpt-5.6-sol,209,17,0.001176,555b5d43604c97a4a336033c70e6bbcda6911fce8b442cfdcf1d90e1a72ea861,confidence:b058952a453d1e855ab5854a25cbb8da0bec85e2c5f85804798d7eec9d72f22d,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:35.616012+00:00
mmlu_pro:test:365,anthropic_sonnet5,claude-sonnet-5,H,True,0.6,0.6,0.0,0.0,0,8,success,"{""probability_correct"":0.6}",claude-sonnet-5,483,13,0.001096,555b5d43604c97a4a336033c70e6bbcda6911fce8b442cfdcf1d90e1a72ea861,confidence:8c45978eb1b0ce7e87c3f2f53c883eba9ab1cd6e8e2113c0c14974a779c165b8,claude-sonnet-5,"{""requested_model_id"": ""claude-sonnet-5"", ""provider"": ""anthropic"", ""api_style"": ""messages"", ""max_output_tokens"": 64, ""reasoning_effort"": null, ""thinking"": {""type"": ""disabled""}}",2026-09-18T02:56:35.799441+00:00
mmlu_pro:test:391,openai_gpt56_sol,gpt-5.6-sol,D,True,0.999,0.999,0.0,0.0,0,8,success,"{""probability_correct"":0.999}",gpt-5.6-sol,207,17,0.001168,e3786fcb3f5cb1a2134bcf9119b25309ecb7648b7e20019a5a58d84ceba8623d,confidence:48cd8e47daf103b08319cff56f11c812b544cf8629c78c1d0b0f45d6b72ba0a6,gpt-5.6-sol,"{""requested_model_id"": ""gpt-5.6-sol"", ""provider"": ""openai"", ""api_style"": ""responses"", ""max_output_tokens"": 64, ""reasoning_effort"": ""none"", ""thinking"": null}",2026-09-18T02:56:36.496924+00:00
