source,question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,request_key,prompt_hash,prompt_version
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:66b16b10ca1919d470692b3ac857866e450577013b911ded16d97589052af140,bfc3ea1193d8404a7fc8fa1300365a6df5916a77cb42274a1395168d1b6dad14,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:4bdead35375fe6dc0be902ba7b7fd4a118e169ccf25b65b3b04230c948073177,29ae66d32568677067a8b47bbe20f8546d235294966c25978273dbf1f5968b25,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:ce4ad07583446e60cf486d2d9be0e4adf9f73fa5335d657ac849e141971acd04,4603961e01564a23953f5426412269e9cf5b8f6fde82e1ebb0746aace82e572e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:f88e88b007342325d92a7e9ced4da70e48525c58560a24896645b3323e9d12f9,5e14a3497a9b66f287bcba726dd755f28493a34a021fd17304c34c8f98d1b6b9,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:195aaf1c309a3ee0cad7874019ca094d3dc69c08511c33f71bef799d6e5ad89b,7969c5cbdd7e7d3bd789b858e40fa8ca5e074c12fefcf9ae4828233ec6022604,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:51197f6a628df719f0a9c1f15ea941e65329f1cefb83365e8baa6537d001ea79,7064ee78711797c54eceb9cb89e102f1341de973c70374540b9356bf6f4b6155,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,verification:178c4e2ebf494a5cce53c395f73a724cec41a814e7c90f313f22bf819ef75939,8b36990d9f4899e8dfcf85f7071b8b530a68387b6b835492fcbd6b1d18689d60,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,verification:ab12390a1038571f1ca74e34268afe8b24a58bb9cf1ff49bfbd5c1963dc38d27,9076b701c33ec0126a3f0aa3c6dca19e25ffe8ebe47bcf678b3b42aead8af15a,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,verification:11185c365a51fb2ef3020722c114c9647ddd77e6207a8cac517fcdc64b65e962,bfc3ea1193d8404a7fc8fa1300365a6df5916a77cb42274a1395168d1b6dad14,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,verification:aa7cbfe5ec87ac1ff3500b273321da93111e8a8436b763b33d1ffda8ae611c6b,29ae66d32568677067a8b47bbe20f8546d235294966c25978273dbf1f5968b25,task006_qualitative_pilot_v1
